Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2013",,,,
Year of Manufacture and Vehicle type,,,,
Counting: Vehicles,,,,
,,,,
Filters:,,,,
Default Summation,Vehicles (#),,,
,,,,
Counting,Year of Manufacture,Vehicle type,Count,Annotations
Vehicles,1960,Light Rigid Trucks up to 4.5t GVM,14,
Vehicles,1960,Heavy Rigid Trucks > 4.5t GVM,155,
Vehicles,1960,Prime Movers,3,
Vehicles,1960,Buses > 9 seats,3,
Vehicles,1960,Fire Appliances,11,
Vehicles,1960,Trucks with Machinery Mounted,3,
Vehicles,1960,Other Non Freight Carrying Trucks,0,
Vehicles,1960,Tow Trucks,0,
Vehicles,1961,Light Rigid Trucks up to 4.5t GVM,14,
Vehicles,1961,Heavy Rigid Trucks > 4.5t GVM,134,
Vehicles,1961,Prime Movers,5,
Vehicles,1961,Buses > 9 seats,3,
Vehicles,1961,Fire Appliances,3,
Vehicles,1961,Trucks with Machinery Mounted,0,
Vehicles,1961,Other Non Freight Carrying Trucks,0,
Vehicles,1961,Tow Trucks,0,
Vehicles,1962,Light Rigid Trucks up to 4.5t GVM,15,
Vehicles,1962,Heavy Rigid Trucks > 4.5t GVM,272,
Vehicles,1962,Prime Movers,3,
Vehicles,1962,Buses > 9 seats,3,
Vehicles,1962,Fire Appliances,20,
Vehicles,1962,Trucks with Machinery Mounted,0,
Vehicles,1962,Other Non Freight Carrying Trucks,0,
Vehicles,1962,Tow Trucks,0,
Vehicles,1963,Light Rigid Trucks up to 4.5t GVM,33,
Vehicles,1963,Heavy Rigid Trucks > 4.5t GVM,369,
Vehicles,1963,Prime Movers,8,
Vehicles,1963,Buses > 9 seats,4,
Vehicles,1963,Fire Appliances,16,
Vehicles,1963,Trucks with Machinery Mounted,3,
Vehicles,1963,Other Non Freight Carrying Trucks,3,
Vehicles,1963,Tow Trucks,0,
Vehicles,1964,Light Rigid Trucks up to 4.5t GVM,30,
Vehicles,1964,Heavy Rigid Trucks > 4.5t GVM,508,
Vehicles,1964,Prime Movers,28,
Vehicles,1964,Buses > 9 seats,3,
Vehicles,1964,Fire Appliances,23,
Vehicles,1964,Trucks with Machinery Mounted,3,
Vehicles,1964,Other Non Freight Carrying Trucks,0,
Vehicles,1964,Tow Trucks,0,
Vehicles,1965,Light Rigid Trucks up to 4.5t GVM,41,
Vehicles,1965,Heavy Rigid Trucks > 4.5t GVM,548,
Vehicles,1965,Prime Movers,15,
Vehicles,1965,Buses > 9 seats,7,
Vehicles,1965,Fire Appliances,30,
Vehicles,1965,Trucks with Machinery Mounted,8,
Vehicles,1965,Other Non Freight Carrying Trucks,0,
Vehicles,1965,Tow Trucks,5,
