Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2016",,,,
"Year of manufacture, Vehicle type and Vehicles",,,,
Counting: Vehicles,,,,
,,,,
Year of manufacture,Vehicle type,Counting,Count,Annotations
1960,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),6,
1960,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),114,
1960,Prime Movers,Vehicles (#),0,
1960,Buses > 9 seats,Vehicles (#),3,
1960,Tow Trucks,Vehicles (#),0,
1960,Fire Appliances,Vehicles (#),10,
1960,Trucks with Machinery Mounted,Vehicles (#),3,
1960,Other Non Freight Carrying Trucks,Vehicles (#),0,
1961,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),14,
1961,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),101,
1961,Prime Movers,Vehicles (#),3,
1961,Buses > 9 seats,Vehicles (#),3,
1961,Tow Trucks,Vehicles (#),0,
1961,Fire Appliances,Vehicles (#),3,
1961,Trucks with Machinery Mounted,Vehicles (#),0,
1961,Other Non Freight Carrying Trucks,Vehicles (#),0,
1962,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),17,
1962,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),193,
1962,Prime Movers,Vehicles (#),3,
1962,Buses > 9 seats,Vehicles (#),3,
1962,Tow Trucks,Vehicles (#),0,
1962,Fire Appliances,Vehicles (#),14,
1962,Trucks with Machinery Mounted,Vehicles (#),0,
1962,Other Non Freight Carrying Trucks,Vehicles (#),0,
1963,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),23,
1963,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),290,
1963,Prime Movers,Vehicles (#),3,
1963,Buses > 9 seats,Vehicles (#),3,
1963,Tow Trucks,Vehicles (#),0,
1963,Fire Appliances,Vehicles (#),17,
1963,Trucks with Machinery Mounted,Vehicles (#),3,
1963,Other Non Freight Carrying Trucks,Vehicles (#),3,
1964,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),25,
1964,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),350,
1964,Prime Movers,Vehicles (#),15,
1964,Buses > 9 seats,Vehicles (#),3,
1964,Tow Trucks,Vehicles (#),0,
1964,Fire Appliances,Vehicles (#),17,
1964,Trucks with Machinery Mounted,Vehicles (#),3,
1964,Other Non Freight Carrying Trucks,Vehicles (#),3,
1965,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),32,
1965,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),427,
1965,Prime Movers,Vehicles (#),5,
1965,Buses > 9 seats,Vehicles (#),9,
1965,Tow Trucks,Vehicles (#),0,
1965,Fire Appliances,Vehicles (#),20,
1965,Trucks with Machinery Mounted,Vehicles (#),7,
1965,Other Non Freight Carrying Trucks,Vehicles (#),0,
1966,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),31,
1966,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),463,
1966,Prime Movers,Vehicles (#),15,
1966,Buses > 9 seats,Vehicles (#),3,
1966,Tow Trucks,Vehicles (#),3,
1966,Fire Appliances,Vehicles (#),10,
1966,Trucks with Machinery Mounted,Vehicles (#),3,
1966,Other Non Freight Carrying Trucks,Vehicles (#),0,
1967,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),49,
1967,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),493,
1967,Prime Movers,Vehicles (#),18,
1967,Buses > 9 seats,Vehicles (#),10,
1967,Tow Trucks,Vehicles (#),5,
1967,Fire Appliances,Vehicles (#),25,
1967,Trucks with Machinery Mounted,Vehicles (#),3,
1967,Other Non Freight Carrying Trucks,Vehicles (#),0,
1968,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),53,
1968,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),676,
1968,Prime Movers,Vehicles (#),31,
1968,Buses > 9 seats,Vehicles (#),7,
1968,Tow Trucks,Vehicles (#),6,
1968,Fire Appliances,Vehicles (#),22,
1968,Trucks with Machinery Mounted,Vehicles (#),6,
1968,Other Non Freight Carrying Trucks,Vehicles (#),0,
1969,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),61,
1969,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),680,
1969,Prime Movers,Vehicles (#),46,
1969,Buses > 9 seats,Vehicles (#),3,
1969,Tow Trucks,Vehicles (#),5,
1969,Fire Appliances,Vehicles (#),23,
1969,Trucks with Machinery Mounted,Vehicles (#),7,
1969,Other Non Freight Carrying Trucks,Vehicles (#),0,
1970,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),76,
1970,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),954,
1970,Prime Movers,Vehicles (#),81,
1970,Buses > 9 seats,Vehicles (#),15,
1970,Tow Trucks,Vehicles (#),18,
1970,Fire Appliances,Vehicles (#),38,
1970,Trucks with Machinery Mounted,Vehicles (#),8,
1970,Other Non Freight Carrying Trucks,Vehicles (#),0,
1971,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),76,
1971,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),650,
1971,Prime Movers,Vehicles (#),66,
1971,Buses > 9 seats,Vehicles (#),11,
1971,Tow Trucks,Vehicles (#),5,
1971,Fire Appliances,Vehicles (#),37,
1971,Trucks with Machinery Mounted,Vehicles (#),8,
1971,Other Non Freight Carrying Trucks,Vehicles (#),3,
1972,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),94,
1972,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),785,
1972,Prime Movers,Vehicles (#),67,
1972,Buses > 9 seats,Vehicles (#),23,
1972,Tow Trucks,Vehicles (#),8,
1972,Fire Appliances,Vehicles (#),28,
1972,Trucks with Machinery Mounted,Vehicles (#),4,
1972,Other Non Freight Carrying Trucks,Vehicles (#),0,
1973,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),105,
1973,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1121,
1973,Prime Movers,Vehicles (#),105,
1973,Buses > 9 seats,Vehicles (#),5,
1973,Tow Trucks,Vehicles (#),3,
1973,Fire Appliances,Vehicles (#),16,
1973,Trucks with Machinery Mounted,Vehicles (#),9,
1973,Other Non Freight Carrying Trucks,Vehicles (#),0,
1974,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),181,
1974,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1385,
1974,Prime Movers,Vehicles (#),166,
1974,Buses > 9 seats,Vehicles (#),20,
1974,Tow Trucks,Vehicles (#),15,
1974,Fire Appliances,Vehicles (#),30,
1974,Trucks with Machinery Mounted,Vehicles (#),4,
1974,Other Non Freight Carrying Trucks,Vehicles (#),3,
1975,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),234,
1975,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1680,
1975,Prime Movers,Vehicles (#),215,
1975,Buses > 9 seats,Vehicles (#),16,
1975,Tow Trucks,Vehicles (#),29,
1975,Fire Appliances,Vehicles (#),34,
1975,Trucks with Machinery Mounted,Vehicles (#),8,
1975,Other Non Freight Carrying Trucks,Vehicles (#),0,
1976,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),294,
1976,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2361,
1976,Prime Movers,Vehicles (#),331,
1976,Buses > 9 seats,Vehicles (#),30,
1976,Tow Trucks,Vehicles (#),23,
1976,Fire Appliances,Vehicles (#),38,
1976,Trucks with Machinery Mounted,Vehicles (#),21,
1976,Other Non Freight Carrying Trucks,Vehicles (#),0,
1977,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),405,
1977,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2002,
1977,Prime Movers,Vehicles (#),339,
1977,Buses > 9 seats,Vehicles (#),44,
1977,Tow Trucks,Vehicles (#),49,
1977,Fire Appliances,Vehicles (#),23,
1977,Trucks with Machinery Mounted,Vehicles (#),20,
1977,Other Non Freight Carrying Trucks,Vehicles (#),5,
1978,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),403,
1978,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2111,
1978,Prime Movers,Vehicles (#),418,
1978,Buses > 9 seats,Vehicles (#),80,
1978,Tow Trucks,Vehicles (#),55,
1978,Fire Appliances,Vehicles (#),28,
1978,Trucks with Machinery Mounted,Vehicles (#),30,
1978,Other Non Freight Carrying Trucks,Vehicles (#),6,
1979,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),404,
1979,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2478,
1979,Prime Movers,Vehicles (#),528,
1979,Buses > 9 seats,Vehicles (#),79,
