Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2021",,,,
"Year of manufacture, Vehicle type and Vehicle Level",,,,
Counting: Vehicle Level,,,,
,,,,
Year of manufacture,Vehicle type,Counting,Count,Annotations
1973,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),684,
1973,Prime Movers,Vehicle Level (#),69,
1973,Buses > 9 seats,Vehicle Level (#),5,
1973,Tow Trucks,Vehicle Level (#),0,
1973,Fire Appliances,Vehicle Level (#),14,
1973,Trucks with Machinery Mounted,Vehicle Level (#),3,
1973,Other Non Freight Carrying Trucks,Vehicle Level (#),0,
1974,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),124,
1974,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),864,
1974,Prime Movers,Vehicle Level (#),100,
1974,Buses > 9 seats,Vehicle Level (#),17,
1974,Tow Trucks,Vehicle Level (#),6,
1974,Fire Appliances,Vehicle Level (#),19,
1974,Trucks with Machinery Mounted,Vehicle Level (#),3,
1974,Other Non Freight Carrying Trucks,Vehicle Level (#),0,
1975,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),189,
1975,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),1045,
1975,Prime Movers,Vehicle Level (#),118,
1975,Buses > 9 seats,Vehicle Level (#),10,
1975,Tow Trucks,Vehicle Level (#),20,
1975,Fire Appliances,Vehicle Level (#),24,
1975,Trucks with Machinery Mounted,Vehicle Level (#),5,
1975,Other Non Freight Carrying Trucks,Vehicle Level (#),0,
1976,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),209,
1976,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),1440,
1976,Prime Movers,Vehicle Level (#),225,
1976,Buses > 9 seats,Vehicle Level (#),9,
1976,Tow Trucks,Vehicle Level (#),16,
1976,Fire Appliances,Vehicle Level (#),26,
1976,Trucks with Machinery Mounted,Vehicle Level (#),13,
1976,Other Non Freight Carrying Trucks,Vehicle Level (#),3,
1977,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),268,
1977,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),1249,
1977,Prime Movers,Vehicle Level (#),224,
1977,Buses > 9 seats,Vehicle Level (#),21,
1977,Tow Trucks,Vehicle Level (#),38,
1977,Fire Appliances,Vehicle Level (#),10,
1977,Trucks with Machinery Mounted,Vehicle Level (#),8,
1977,Other Non Freight Carrying Trucks,Vehicle Level (#),3,
1978,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),256,
1978,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),1376,
1978,Prime Movers,Vehicle Level (#),254,
1978,Buses > 9 seats,Vehicle Level (#),37,
1978,Tow Trucks,Vehicle Level (#),32,
1978,Fire Appliances,Vehicle Level (#),25,
1978,Trucks with Machinery Mounted,Vehicle Level (#),19,
1978,Other Non Freight Carrying Trucks,Vehicle Level (#),9,
1979,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),253,
1979,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),1643,
1979,Prime Movers,Vehicle Level (#),350,
1979,Buses > 9 seats,Vehicle Level (#),25,
1979,Tow Trucks,Vehicle Level (#),29,
1979,Fire Appliances,Vehicle Level (#),12,
1979,Trucks with Machinery Mounted,Vehicle Level (#),17,
1979,Other Non Freight Carrying Trucks,Vehicle Level (#),5,
1980,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),248,
1980,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),2083,
1980,Prime Movers,Vehicle Level (#),372,
1980,Buses > 9 seats,Vehicle Level (#),38,
1980,Tow Trucks,Vehicle Level (#),26,
1980,Fire Appliances,Vehicle Level (#),14,
1980,Trucks with Machinery Mounted,Vehicle Level (#),31,
1980,Other Non Freight Carrying Trucks,Vehicle Level (#),3,
1981,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),283,
1981,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),2339,
1981,Prime Movers,Vehicle Level (#),351,
1981,Buses > 9 seats,Vehicle Level (#),48,
1981,Tow Trucks,Vehicle Level (#),36,
1981,Fire Appliances,Vehicle Level (#),24,
1981,Trucks with Machinery Mounted,Vehicle Level (#),34,
1981,Other Non Freight Carrying Trucks,Vehicle Level (#),3,
1982,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),302,
1982,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),2217,
1982,Prime Movers,Vehicle Level (#),285,
1982,Buses > 9 seats,Vehicle Level (#),72,
1982,Tow Trucks,Vehicle Level (#),39,
1982,Fire Appliances,Vehicle Level (#),23,
1982,Trucks with Machinery Mounted,Vehicle Level (#),29,
1982,Other Non Freight Carrying Trucks,Vehicle Level (#),5,
1983,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),227,
1983,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),1974,
1983,Prime Movers,Vehicle Level (#),194,
1983,Buses > 9 seats,Vehicle Level (#),93,
1983,Tow Trucks,Vehicle Level (#),35,
1983,Fire Appliances,Vehicle Level (#),46,
1983,Trucks with Machinery Mounted,Vehicle Level (#),22,
1983,Other Non Freight Carrying Trucks,Vehicle Level (#),3,
