Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2021",,,,
Year of manufacture and Vehicle type,,,,
Counting: Vehicle Level,,,,
,,,,
Filters:,,,,
Default Summation,Vehicle Level (#),,,
,,,,
Counting,Year of manufacture,Vehicle type,Count,Annotations
Vehicle Level,1960,Light Rigid Trucks up to 4.5t GVM,14,
Vehicle Level,1960,Heavy Rigid Trucks > 4.5t GVM,68,
Vehicle Level,1960,Prime Movers,0,
Vehicle Level,1960,Buses > 9 seats,0,
Vehicle Level,1961,Light Rigid Trucks up to 4.5t GVM,7,
Vehicle Level,1961,Heavy Rigid Trucks > 4.5t GVM,57,
Vehicle Level,1961,Prime Movers,3,
Vehicle Level,1961,Buses > 9 seats,3,
Vehicle Level,1962,Light Rigid Trucks up to 4.5t GVM,12,
Vehicle Level,1962,Heavy Rigid Trucks > 4.5t GVM,121,
Vehicle Level,1962,Prime Movers,3,
Vehicle Level,1962,Buses > 9 seats,0,
Vehicle Level,1963,Light Rigid Trucks up to 4.5t GVM,15,
Vehicle Level,1963,Heavy Rigid Trucks > 4.5t GVM,174,
Vehicle Level,1963,Prime Movers,4,
Vehicle Level,1963,Buses > 9 seats,3,
Vehicle Level,1964,Light Rigid Trucks up to 4.5t GVM,27,
Vehicle Level,1964,Heavy Rigid Trucks > 4.5t GVM,226,
Vehicle Level,1964,Prime Movers,12,
Vehicle Level,1964,Buses > 9 seats,0,
Vehicle Level,1965,Light Rigid Trucks up to 4.5t GVM,17,
Vehicle Level,1965,Heavy Rigid Trucks > 4.5t GVM,261,
Vehicle Level,1965,Prime Movers,3,
Vehicle Level,1965,Buses > 9 seats,4,
Vehicle Level,1966,Light Rigid Trucks up to 4.5t GVM,25,
Vehicle Level,1966,Heavy Rigid Trucks > 4.5t GVM,315,
Vehicle Level,1966,Prime Movers,9,
Vehicle Level,1966,Buses > 9 seats,5,
Vehicle Level,1967,Light Rigid Trucks up to 4.5t GVM,28,
Vehicle Level,1967,Heavy Rigid Trucks > 4.5t GVM,320,
Vehicle Level,1967,Prime Movers,9,
Vehicle Level,1967,Buses > 9 seats,11,
Vehicle Level,1968,Light Rigid Trucks up to 4.5t GVM,43,
Vehicle Level,1968,Heavy Rigid Trucks > 4.5t GVM,425,
Vehicle Level,1968,Prime Movers,21,
Vehicle Level,1968,Buses > 9 seats,9,
Vehicle Level,1969,Light Rigid Trucks up to 4.5t GVM,40,
Vehicle Level,1969,Heavy Rigid Trucks > 4.5t GVM,404,
Vehicle Level,1969,Prime Movers,32,
Vehicle Level,1969,Buses > 9 seats,3,
Vehicle Level,1970,Light Rigid Trucks up to 4.5t GVM,49,
Vehicle Level,1970,Heavy Rigid Trucks > 4.5t GVM,595,
Vehicle Level,1970,Prime Movers,60,
Vehicle Level,1970,Buses > 9 seats,9,
Vehicle Level,1971,Light Rigid Trucks up to 4.5t GVM,59,
Vehicle Level,1971,Heavy Rigid Trucks > 4.5t GVM,419,
Vehicle Level,1971,Prime Movers,52,
Vehicle Level,1971,Buses > 9 seats,6,
Vehicle Level,1972,Light Rigid Trucks up to 4.5t GVM,75,
Vehicle Level,1972,Heavy Rigid Trucks > 4.5t GVM,508,
Vehicle Level,1972,Prime Movers,38,
Vehicle Level,1972,Buses > 9 seats,12,
Vehicle Level,1973,Light Rigid Trucks up to 4.5t GVM,76,
Vehicle Level,1973,Heavy Rigid Trucks > 4.5t GVM,684,
Vehicle Level,1973,Prime Movers,69,
Vehicle Level,1973,Buses > 9 seats,5,
Vehicle Level,1974,Light Rigid Trucks up to 4.5t GVM,124,
Vehicle Level,1974,Heavy Rigid Trucks > 4.5t GVM,864,
Vehicle Level,1974,Prime Movers,100,
Vehicle Level,1974,Buses > 9 seats,17,
Vehicle Level,1975,Light Rigid Trucks up to 4.5t GVM,189,
Vehicle Level,1975,Heavy Rigid Trucks > 4.5t GVM,1045,
Vehicle Level,1975,Prime Movers,118,
Vehicle Level,1975,Buses > 9 seats,10,
Vehicle Level,1976,Light Rigid Trucks up to 4.5t GVM,209,
Vehicle Level,1976,Heavy Rigid Trucks > 4.5t GVM,1440,
Vehicle Level,1976,Prime Movers,225,
Vehicle Level,1976,Buses > 9 seats,9,
Vehicle Level,1977,Light Rigid Trucks up to 4.5t GVM,268,
Vehicle Level,1977,Heavy Rigid Trucks > 4.5t GVM,1249,
Vehicle Level,1977,Prime Movers,224,
Vehicle Level,1977,Buses > 9 seats,21,
Vehicle Level,1978,Light Rigid Trucks up to 4.5t GVM,256,
Vehicle Level,1978,Heavy Rigid Trucks > 4.5t GVM,1376,
Vehicle Level,1978,Prime Movers,254,
Vehicle Level,1978,Buses > 9 seats,37,
Vehicle Level,1979,Light Rigid Trucks up to 4.5t GVM,253,
Vehicle Level,1979,Heavy Rigid Trucks > 4.5t GVM,1643,
Vehicle Level,1979,Prime Movers,350,
Vehicle Level,1979,Buses > 9 seats,25,
Vehicle Level,1980,Light Rigid Trucks up to 4.5t GVM,248,
Vehicle Level,1980,Heavy Rigid Trucks > 4.5t GVM,2083,
Vehicle Level,1980,Prime Movers,372,
Vehicle Level,1980,Buses > 9 seats,38,
Vehicle Level,1981,Light Rigid Trucks up to 4.5t GVM,283,
Vehicle Level,1981,Heavy Rigid Trucks > 4.5t GVM,2339,
Vehicle Level,1981,Prime Movers,351,
Vehicle Level,1981,Buses > 9 seats,48,
Vehicle Level,1982,Light Rigid Trucks up to 4.5t GVM,302,
Vehicle Level,1982,Heavy Rigid Trucks > 4.5t GVM,2217,
Vehicle Level,1982,Prime Movers,285,
Vehicle Level,1982,Buses > 9 seats,72,
Vehicle Level,1983,Light Rigid Trucks up to 4.5t GVM,227,
Vehicle Level,1983,Heavy Rigid Trucks > 4.5t GVM,1974,
Vehicle Level,1983,Prime Movers,194,
Vehicle Level,1983,Buses > 9 seats,93,
Vehicle Level,1984,Light Rigid Trucks up to 4.5t GVM,440,
Vehicle Level,1984,Heavy Rigid Trucks > 4.5t GVM,3278,
Vehicle Level,1984,Prime Movers,419,
Vehicle Level,1984,Buses > 9 seats,178,
Vehicle Level,1985,Light Rigid Trucks up to 4.5t GVM,648,
Vehicle Level,1985,Heavy Rigid Trucks > 4.5t GVM,5178,
Vehicle Level,1985,Prime Movers,630,
Vehicle Level,1985,Buses > 9 seats,210,
Vehicle Level,1986,Light Rigid Trucks up to 4.5t GVM,565,
Vehicle Level,1986,Heavy Rigid Trucks > 4.5t GVM,3836,
Vehicle Level,1986,Prime Movers,531,
Vehicle Level,1986,Buses > 9 seats,197,
Vehicle Level,1987,Light Rigid Trucks up to 4.5t GVM,590,
Vehicle Level,1987,Heavy Rigid Trucks > 4.5t GVM,3471,
Vehicle Level,1987,Prime Movers,463,
Vehicle Level,1987,Buses > 9 seats,227,
Vehicle Level,1988,Light Rigid Trucks up to 4.5t GVM,1105,
Vehicle Level,1988,Heavy Rigid Trucks > 4.5t GVM,5100,
Vehicle Level,1988,Prime Movers,791,
Vehicle Level,1988,Buses > 9 seats,322,
Vehicle Level,1989,Light Rigid Trucks up to 4.5t GVM,1110,
Vehicle Level,1989,Heavy Rigid Trucks > 4.5t GVM,5525,
Vehicle Level,1989,Prime Movers,835,
Vehicle Level,1989,Buses > 9 seats,473,
Vehicle Level,1990,Light Rigid Trucks up to 4.5t GVM,1099,
Vehicle Level,1990,Heavy Rigid Trucks > 4.5t GVM,5003,
Vehicle Level,1990,Prime Movers,696,
Vehicle Level,1990,Buses > 9 seats,600,
Vehicle Level,1991,Light Rigid Trucks up to 4.5t GVM,811,
Vehicle Level,1991,Heavy Rigid Trucks > 4.5t GVM,3319,
Vehicle Level,1991,Prime Movers,316,
Vehicle Level,1991,Buses > 9 seats,687,
Vehicle Level,1992,Light Rigid Trucks up to 4.5t GVM,1061,
Vehicle Level,1992,Heavy Rigid Trucks > 4.5t GVM,4080,
Vehicle Level,1992,Prime Movers,463,
Vehicle Level,1992,Buses > 9 seats,898,
Vehicle Level,1993,Light Rigid Trucks up to 4.5t GVM,1055,
Vehicle Level,1993,Heavy Rigid Trucks > 4.5t GVM,4178,
Vehicle Level,1993,Prime Movers,899,
Vehicle Level,1993,Buses > 9 seats,887,
Vehicle Level,1994,Light Rigid Trucks up to 4.5t GVM,1323,
Vehicle Level,1994,Heavy Rigid Trucks > 4.5t GVM,5617,
Vehicle Level,1994,Prime Movers,1410,
Vehicle Level,1994,Buses > 9 seats,1224,
Vehicle Level,1995,Light Rigid Trucks up to 4.5t GVM,1423,
Vehicle Level,1995,Heavy Rigid Trucks > 4.5t GVM,5062,
Vehicle Level,1995,Prime Movers,1381,
Vehicle Level,1995,Buses > 9 seats,1283,
Vehicle Level,1996,Light Rigid Trucks up to 4.5t GVM,1388,
Vehicle Level,1996,Heavy Rigid Trucks > 4.5t GVM,4864,
Vehicle Level,1996,Prime Movers,1240,
Vehicle Level,1996,Buses > 9 seats,1275,
Vehicle Level,1997,Light Rigid Trucks up to 4.5t GVM,1573,
Vehicle Level,1997,Heavy Rigid Trucks > 4.5t GVM,5702,
Vehicle Level,1997,Prime Movers,1515,
Vehicle Level,1997,Buses > 9 seats,1503,
Vehicle Level,1998,Light Rigid Trucks up to 4.5t GVM,2199,
Vehicle Level,1998,Heavy Rigid Trucks > 4.5t GVM,7138,
Vehicle Level,1998,Prime Movers,1964,
Vehicle Level,1998,Buses > 9 seats,1891,
Vehicle Level,1999,Light Rigid Trucks up to 4.5t GVM,2696,
Vehicle Level,1999,Heavy Rigid Trucks > 4.5t GVM,7082,
Vehicle Level,1999,Prime Movers,1727,
Vehicle Level,1999,Buses > 9 seats,1927,
Vehicle Level,2000,Light Rigid Trucks up to 4.5t GVM,2922,
Vehicle Level,2000,Heavy Rigid Trucks > 4.5t GVM,7046,
Vehicle Level,2000,Prime Movers,1617,
Vehicle Level,2000,Buses > 9 seats,2355,
Vehicle Level,2001,Light Rigid Trucks up to 4.5t GVM,3701,
Vehicle Level,2001,Heavy Rigid Trucks > 4.5t GVM,6781,
Vehicle Level,2001,Prime Movers,1583,
Vehicle Level,2001,Buses > 9 seats,1881,
Vehicle Level,2002,Light Rigid Trucks up to 4.5t GVM,5657,
Vehicle Level,2002,Heavy Rigid Trucks > 4.5t GVM,9672,
Vehicle Level,2002,Prime Movers,2284,
Vehicle Level,2002,Buses > 9 seats,2087,
Vehicle Level,2003,Light Rigid Trucks up to 4.5t GVM,4380,
Vehicle Level,2003,Heavy Rigid Trucks > 4.5t GVM,9105,
Vehicle Level,2003,Prime Movers,3035,
Vehicle Level,2003,Buses > 9 seats,2278,
Vehicle Level,2004,Light Rigid Trucks up to 4.5t GVM,6100,
Vehicle Level,2004,Heavy Rigid Trucks > 4.5t GVM,12635,
Vehicle Level,2004,Prime Movers,3758,
Vehicle Level,2004,Buses > 9 seats,2183,
Vehicle Level,2005,Light Rigid Trucks up to 4.5t GVM,6968,
Vehicle Level,2005,Heavy Rigid Trucks > 4.5t GVM,13157,
Vehicle Level,2005,Prime Movers,3959,
Vehicle Level,2005,Buses > 9 seats,3241,
Vehicle Level,2006,Light Rigid Trucks up to 4.5t GVM,5938,
Vehicle Level,2006,Heavy Rigid Trucks > 4.5t GVM,14444,
Vehicle Level,2006,Prime Movers,3914,
Vehicle Level,2006,Buses > 9 seats,3758,
Vehicle Level,2007,Light Rigid Trucks up to 4.5t GVM,6974,
Vehicle Level,2007,Heavy Rigid Trucks > 4.5t GVM,19970,
Vehicle Level,2007,Prime Movers,6971,
Vehicle Level,2007,Buses > 9 seats,4152,
Vehicle Level,2008,Light Rigid Trucks up to 4.5t GVM,7377,
Vehicle Level,2008,Heavy Rigid Trucks > 4.5t GVM,14106,
Vehicle Level,2008,Prime Movers,3491,
Vehicle Level,2008,Buses > 9 seats,5523,
Vehicle Level,2009,Light Rigid Trucks up to 4.5t GVM,5741,
Vehicle Level,2009,Heavy Rigid Trucks > 4.5t GVM,12287,
Vehicle Level,2009,Prime Movers,2774,
Vehicle Level,2009,Buses > 9 seats,4384,
Vehicle Level,2010,Light Rigid Trucks up to 4.5t GVM,7984,
Vehicle Level,2010,Heavy Rigid Trucks > 4.5t GVM,15141,
Vehicle Level,2010,Prime Movers,5027,
Vehicle Level,2010,Buses > 9 seats,4978,
Vehicle Level,2011,Light Rigid Trucks up to 4.5t GVM,5592,
Vehicle Level,2011,Heavy Rigid Trucks > 4.5t GVM,9643,
Vehicle Level,2011,Prime Movers,3011,
Vehicle Level,2011,Buses > 9 seats,5332,
Vehicle Level,2012,Light Rigid Trucks up to 4.5t GVM,7264,
Vehicle Level,2012,Heavy Rigid Trucks > 4.5t GVM,13537,
Vehicle Level,2012,Prime Movers,5284,
Vehicle Level,2012,Buses > 9 seats,4835,
Vehicle Level,2013,Light Rigid Trucks up to 4.5t GVM,7443,
Vehicle Level,2013,Heavy Rigid Trucks > 4.5t GVM,12096,
Vehicle Level,2013,Prime Movers,5782,
Vehicle Level,2013,Buses > 9 seats,4159,
Vehicle Level,2014,Light Rigid Trucks up to 4.5t GVM,7991,
Vehicle Level,2014,Heavy Rigid Trucks > 4.5t GVM,12550,
Vehicle Level,2014,Prime Movers,5457,
Vehicle Level,2014,Buses > 9 seats,4732,
Vehicle Level,2015,Light Rigid Trucks up to 4.5t GVM,9035,
Vehicle Level,2015,Heavy Rigid Trucks > 4.5t GVM,13093,
Vehicle Level,2015,Prime Movers,4650,
Vehicle Level,2015,Buses > 9 seats,4548,
Vehicle Level,2016,Light Rigid Trucks up to 4.5t GVM,10182,
Vehicle Level,2016,Heavy Rigid Trucks > 4.5t GVM,13310,
Vehicle Level,2016,Prime Movers,4664,
Vehicle Level,2016,Buses > 9 seats,4282,
Vehicle Level,2017,Light Rigid Trucks up to 4.5t GVM,12930,
Vehicle Level,2017,Heavy Rigid Trucks > 4.5t GVM,14868,
Vehicle Level,2017,Prime Movers,6204,
Vehicle Level,2017,Buses > 9 seats,4528,
Vehicle Level,2018,Light Rigid Trucks up to 4.5t GVM,15325,
Vehicle Level,2018,Heavy Rigid Trucks > 4.5t GVM,17420,
Vehicle Level,2018,Prime Movers,7408,
Vehicle Level,2018,Buses > 9 seats,4933,
Vehicle Level,2019,Light Rigid Trucks up to 4.5t GVM,13402,
Vehicle Level,2019,Heavy Rigid Trucks > 4.5t GVM,13949,
Vehicle Level,2019,Prime Movers,6071,
Vehicle Level,2019,Buses > 9 seats,5078,
Vehicle Level,2020,Light Rigid Trucks up to 4.5t GVM,11820,
Vehicle Level,2020,Heavy Rigid Trucks > 4.5t GVM,10212,
Vehicle Level,2020,Prime Movers,4820,
Vehicle Level,2020,Buses > 9 seats,3423,
Vehicle Level,2021,Light Rigid Trucks up to 4.5t GVM,169,
Vehicle Level,2021,Heavy Rigid Trucks > 4.5t GVM,74,
Vehicle Level,2021,Prime Movers,55,
Vehicle Level,2021,Buses > 9 seats,93,
Vehicle Level,Not stated,Light Rigid Trucks up to 4.5t GVM,356,
Vehicle Level,Not stated,Heavy Rigid Trucks > 4.5t GVM,286,
Vehicle Level,Not stated,Prime Movers,29,
Vehicle Level,Not stated,Buses > 9 seats,28,
Vehicle Level,Total,Light Rigid Trucks up to 4.5t GVM,187157,
Vehicle Level,Total,Heavy Rigid Trucks > 4.5t GVM,364613,
Vehicle Level,Total,Prime Movers,109919,
Vehicle Level,Total,Buses > 9 seats,97017,
,,,,
,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,
INFO,Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,
,,,,
,,,,
Symbol,Description,,,
#,No scaling applied,,,
,,,,
,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,
