Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2014",,,,
Year of Manufacture and Vehicle type,,,,
Counting: Vehicles,,,,
,,,,
Filters:,,,,
Default Summation,Vehicles (#),,,
,,,,
Counting,Year of Manufacture,Vehicle type,Count,Annotations
Vehicles,1960,Light Rigid Trucks up to 4.5t GVM,9,
Vehicles,1960,Heavy Rigid Trucks > 4.5t GVM,147,
Vehicles,1960,Prime Movers,3,
Vehicles,1960,Buses > 9 seats,0,
Vehicles,1961,Light Rigid Trucks up to 4.5t GVM,10,
Vehicles,1961,Heavy Rigid Trucks > 4.5t GVM,125,
Vehicles,1961,Prime Movers,3,
Vehicles,1961,Buses > 9 seats,3,
Vehicles,1962,Light Rigid Trucks up to 4.5t GVM,17,
Vehicles,1962,Heavy Rigid Trucks > 4.5t GVM,240,
Vehicles,1962,Prime Movers,3,
Vehicles,1962,Buses > 9 seats,3,
Vehicles,1963,Light Rigid Trucks up to 4.5t GVM,27,
Vehicles,1963,Heavy Rigid Trucks > 4.5t GVM,334,
Vehicles,1963,Prime Movers,5,
Vehicles,1963,Buses > 9 seats,3,
Vehicles,1964,Light Rigid Trucks up to 4.5t GVM,29,
Vehicles,1964,Heavy Rigid Trucks > 4.5t GVM,460,
Vehicles,1964,Prime Movers,19,
Vehicles,1964,Buses > 9 seats,3,
Vehicles,1965,Light Rigid Trucks up to 4.5t GVM,40,
Vehicles,1965,Heavy Rigid Trucks > 4.5t GVM,511,
Vehicles,1965,Prime Movers,10,
Vehicles,1965,Buses > 9 seats,7,
Vehicles,1966,Light Rigid Trucks up to 4.5t GVM,32,
Vehicles,1966,Heavy Rigid Trucks > 4.5t GVM,558,
Vehicles,1966,Prime Movers,21,
Vehicles,1966,Buses > 9 seats,5,
Vehicles,1967,Light Rigid Trucks up to 4.5t GVM,62,
Vehicles,1967,Heavy Rigid Trucks > 4.5t GVM,596,
Vehicles,1967,Prime Movers,23,
Vehicles,1967,Buses > 9 seats,9,
Vehicles,1968,Light Rigid Trucks up to 4.5t GVM,60,
Vehicles,1968,Heavy Rigid Trucks > 4.5t GVM,856,
Vehicles,1968,Prime Movers,35,
Vehicles,1968,Buses > 9 seats,6,
Vehicles,1969,Light Rigid Trucks up to 4.5t GVM,65,
Vehicles,1969,Heavy Rigid Trucks > 4.5t GVM,840,
Vehicles,1969,Prime Movers,58,
Vehicles,1969,Buses > 9 seats,7,
Vehicles,1970,Light Rigid Trucks up to 4.5t GVM,89,
Vehicles,1970,Heavy Rigid Trucks > 4.5t GVM,1159,
Vehicles,1970,Prime Movers,100,
Vehicles,1970,Buses > 9 seats,20,
Vehicles,1971,Light Rigid Trucks up to 4.5t GVM,93,
