Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2017",,,,
Year of manufacture and Vehicle type,,,,
Counting: Vehicle Level,,,,
,,,,
Filters:,,,,
Default Summation,Vehicle Level (#),,,
,,,,
Counting,Year of manufacture,Vehicle type,Count,Annotations
Vehicle Level,1960,Light Rigid Trucks up to 4.5t GVM,11,
Vehicle Level,1960,Heavy Rigid Trucks > 4.5t GVM,106,
Vehicle Level,1960,Prime Movers,0,
Vehicle Level,1960,Buses > 9 seats,0,
Vehicle Level,1961,Light Rigid Trucks up to 4.5t GVM,8,
Vehicle Level,1961,Heavy Rigid Trucks > 4.5t GVM,88,
Vehicle Level,1961,Prime Movers,0,
Vehicle Level,1961,Buses > 9 seats,3,
Vehicle Level,1962,Light Rigid Trucks up to 4.5t GVM,14,
Vehicle Level,1962,Heavy Rigid Trucks > 4.5t GVM,178,
Vehicle Level,1962,Prime Movers,3,
Vehicle Level,1962,Buses > 9 seats,3,
Vehicle Level,1963,Light Rigid Trucks up to 4.5t GVM,29,
Vehicle Level,1963,Heavy Rigid Trucks > 4.5t GVM,250,
Vehicle Level,1963,Prime Movers,4,
Vehicle Level,1963,Buses > 9 seats,3,
Vehicle Level,1964,Light Rigid Trucks up to 4.5t GVM,24,
Vehicle Level,1964,Heavy Rigid Trucks > 4.5t GVM,324,
Vehicle Level,1964,Prime Movers,15,
Vehicle Level,1964,Buses > 9 seats,3,
Vehicle Level,1965,Light Rigid Trucks up to 4.5t GVM,33,
Vehicle Level,1965,Heavy Rigid Trucks > 4.5t GVM,390,
Vehicle Level,1965,Prime Movers,3,
Vehicle Level,1965,Buses > 9 seats,9,
Vehicle Level,1966,Light Rigid Trucks up to 4.5t GVM,25,
Vehicle Level,1966,Heavy Rigid Trucks > 4.5t GVM,429,
Vehicle Level,1966,Prime Movers,23,
Vehicle Level,1966,Buses > 9 seats,4,
Vehicle Level,1967,Light Rigid Trucks up to 4.5t GVM,48,
Vehicle Level,1967,Heavy Rigid Trucks > 4.5t GVM,443,
Vehicle Level,1967,Prime Movers,13,
Vehicle Level,1967,Buses > 9 seats,9,
Vehicle Level,1968,Light Rigid Trucks up to 4.5t GVM,46,
Vehicle Level,1968,Heavy Rigid Trucks > 4.5t GVM,616,
Vehicle Level,1968,Prime Movers,30,
Vehicle Level,1968,Buses > 9 seats,6,
Vehicle Level,1969,Light Rigid Trucks up to 4.5t GVM,50,
Vehicle Level,1969,Heavy Rigid Trucks > 4.5t GVM,630,
Vehicle Level,1969,Prime Movers,47,
Vehicle Level,1969,Buses > 9 seats,3,
Vehicle Level,1970,Light Rigid Trucks up to 4.5t GVM,66,
Vehicle Level,1970,Heavy Rigid Trucks > 4.5t GVM,872,
Vehicle Level,1970,Prime Movers,76,
Vehicle Level,1970,Buses > 9 seats,11,
Vehicle Level,1971,Light Rigid Trucks up to 4.5t GVM,73,
Vehicle Level,1971,Heavy Rigid Trucks > 4.5t GVM,600,
Vehicle Level,1971,Prime Movers,63,
Vehicle Level,1971,Buses > 9 seats,12,
Vehicle Level,1972,Light Rigid Trucks up to 4.5t GVM,83,
Vehicle Level,1972,Heavy Rigid Trucks > 4.5t GVM,737,
Vehicle Level,1972,Prime Movers,57,
Vehicle Level,1972,Buses > 9 seats,21,
Vehicle Level,1973,Light Rigid Trucks up to 4.5t GVM,97,
Vehicle Level,1973,Heavy Rigid Trucks > 4.5t GVM,1023,
Vehicle Level,1973,Prime Movers,94,
Vehicle Level,1973,Buses > 9 seats,11,
Vehicle Level,1974,Light Rigid Trucks up to 4.5t GVM,166,
Vehicle Level,1974,Heavy Rigid Trucks > 4.5t GVM,1254,
Vehicle Level,1974,Prime Movers,147,
Vehicle Level,1974,Buses > 9 seats,22,
Vehicle Level,1975,Light Rigid Trucks up to 4.5t GVM,221,
Vehicle Level,1975,Heavy Rigid Trucks > 4.5t GVM,1523,
Vehicle Level,1975,Prime Movers,191,
Vehicle Level,1975,Buses > 9 seats,9,
Vehicle Level,1976,Light Rigid Trucks up to 4.5t GVM,271,
Vehicle Level,1976,Heavy Rigid Trucks > 4.5t GVM,2113,
Vehicle Level,1976,Prime Movers,315,
Vehicle Level,1976,Buses > 9 seats,16,
Vehicle Level,1977,Light Rigid Trucks up to 4.5t GVM,369,
Vehicle Level,1977,Heavy Rigid Trucks > 4.5t GVM,1817,
Vehicle Level,1977,Prime Movers,306,
Vehicle Level,1977,Buses > 9 seats,42,
Vehicle Level,1978,Light Rigid Trucks up to 4.5t GVM,369,
Vehicle Level,1978,Heavy Rigid Trucks > 4.5t GVM,1945,
Vehicle Level,1978,Prime Movers,380,
Vehicle Level,1978,Buses > 9 seats,64,
Vehicle Level,1979,Light Rigid Trucks up to 4.5t GVM,359,
Vehicle Level,1979,Heavy Rigid Trucks > 4.5t GVM,2275,
Vehicle Level,1979,Prime Movers,489,
Vehicle Level,1979,Buses > 9 seats,70,
Vehicle Level,1980,Light Rigid Trucks up to 4.5t GVM,335,
Vehicle Level,1980,Heavy Rigid Trucks > 4.5t GVM,2993,
Vehicle Level,1980,Prime Movers,509,
Vehicle Level,1980,Buses > 9 seats,106,
Vehicle Level,1981,Light Rigid Trucks up to 4.5t GVM,420,
Vehicle Level,1981,Heavy Rigid Trucks > 4.5t GVM,3331,
Vehicle Level,1981,Prime Movers,491,
Vehicle Level,1981,Buses > 9 seats,94,
Vehicle Level,1982,Light Rigid Trucks up to 4.5t GVM,434,
Vehicle Level,1982,Heavy Rigid Trucks > 4.5t GVM,3029,
Vehicle Level,1982,Prime Movers,390,
Vehicle Level,1982,Buses > 9 seats,123,
Vehicle Level,1983,Light Rigid Trucks up to 4.5t GVM,331,
Vehicle Level,1983,Heavy Rigid Trucks > 4.5t GVM,2636,
Vehicle Level,1983,Prime Movers,264,
Vehicle Level,1983,Buses > 9 seats,157,
Vehicle Level,1984,Light Rigid Trucks up to 4.5t GVM,659,
Vehicle Level,1984,Heavy Rigid Trucks > 4.5t GVM,4521,
Vehicle Level,1984,Prime Movers,560,
Vehicle Level,1984,Buses > 9 seats,280,
Vehicle Level,1985,Light Rigid Trucks up to 4.5t GVM,1020,
Vehicle Level,1985,Heavy Rigid Trucks > 4.5t GVM,6889,
Vehicle Level,1985,Prime Movers,869,
Vehicle Level,1985,Buses > 9 seats,376,
Vehicle Level,1986,Light Rigid Trucks up to 4.5t GVM,857,
Vehicle Level,1986,Heavy Rigid Trucks > 4.5t GVM,5148,
Vehicle Level,1986,Prime Movers,715,
Vehicle Level,1986,Buses > 9 seats,396,
Vehicle Level,1987,Light Rigid Trucks up to 4.5t GVM,891,
Vehicle Level,1987,Heavy Rigid Trucks > 4.5t GVM,4516,
Vehicle Level,1987,Prime Movers,634,
Vehicle Level,1987,Buses > 9 seats,459,
Vehicle Level,1988,Light Rigid Trucks up to 4.5t GVM,1635,
Vehicle Level,1988,Heavy Rigid Trucks > 4.5t GVM,6608,
Vehicle Level,1988,Prime Movers,1002,
Vehicle Level,1988,Buses > 9 seats,624,
Vehicle Level,1989,Light Rigid Trucks up to 4.5t GVM,1674,
Vehicle Level,1989,Heavy Rigid Trucks > 4.5t GVM,7126,
Vehicle Level,1989,Prime Movers,1043,
Vehicle Level,1989,Buses > 9 seats,789,
Vehicle Level,1990,Light Rigid Trucks up to 4.5t GVM,1625,
Vehicle Level,1990,Heavy Rigid Trucks > 4.5t GVM,6394,
Vehicle Level,1990,Prime Movers,934,
Vehicle Level,1990,Buses > 9 seats,1059,
Vehicle Level,1991,Light Rigid Trucks up to 4.5t GVM,1170,
Vehicle Level,1991,Heavy Rigid Trucks > 4.5t GVM,4182,
Vehicle Level,1991,Prime Movers,410,
Vehicle Level,1991,Buses > 9 seats,1122,
Vehicle Level,1992,Light Rigid Trucks up to 4.5t GVM,1406,
Vehicle Level,1992,Heavy Rigid Trucks > 4.5t GVM,5054,
Vehicle Level,1992,Prime Movers,584,
Vehicle Level,1992,Buses > 9 seats,1525,
Vehicle Level,1993,Light Rigid Trucks up to 4.5t GVM,1480,
Vehicle Level,1993,Heavy Rigid Trucks > 4.5t GVM,5131,
Vehicle Level,1993,Prime Movers,1082,
Vehicle Level,1993,Buses > 9 seats,1625,
Vehicle Level,1994,Light Rigid Trucks up to 4.5t GVM,1797,
Vehicle Level,1994,Heavy Rigid Trucks > 4.5t GVM,6759,
Vehicle Level,1994,Prime Movers,1759,
Vehicle Level,1994,Buses > 9 seats,2116,
Vehicle Level,1995,Light Rigid Trucks up to 4.5t GVM,1963,
Vehicle Level,1995,Heavy Rigid Trucks > 4.5t GVM,6063,
Vehicle Level,1995,Prime Movers,1684,
Vehicle Level,1995,Buses > 9 seats,2209,
Vehicle Level,1996,Light Rigid Trucks up to 4.5t GVM,1728,
Vehicle Level,1996,Heavy Rigid Trucks > 4.5t GVM,5720,
Vehicle Level,1996,Prime Movers,1491,
Vehicle Level,1996,Buses > 9 seats,2019,
Vehicle Level,1997,Light Rigid Trucks up to 4.5t GVM,1929,
Vehicle Level,1997,Heavy Rigid Trucks > 4.5t GVM,6586,
Vehicle Level,1997,Prime Movers,1814,
Vehicle Level,1997,Buses > 9 seats,2263,
Vehicle Level,1998,Light Rigid Trucks up to 4.5t GVM,2663,
Vehicle Level,1998,Heavy Rigid Trucks > 4.5t GVM,8176,
Vehicle Level,1998,Prime Movers,2311,
Vehicle Level,1998,Buses > 9 seats,2731,
Vehicle Level,1999,Light Rigid Trucks up to 4.5t GVM,3220,
Vehicle Level,1999,Heavy Rigid Trucks > 4.5t GVM,8059,
Vehicle Level,1999,Prime Movers,2085,
Vehicle Level,1999,Buses > 9 seats,2794,
Vehicle Level,2000,Light Rigid Trucks up to 4.5t GVM,3470,
Vehicle Level,2000,Heavy Rigid Trucks > 4.5t GVM,7917,
Vehicle Level,2000,Prime Movers,1972,
Vehicle Level,2000,Buses > 9 seats,3453,
Vehicle Level,2001,Light Rigid Trucks up to 4.5t GVM,4145,
Vehicle Level,2001,Heavy Rigid Trucks > 4.5t GVM,7571,
Vehicle Level,2001,Prime Movers,1921,
Vehicle Level,2001,Buses > 9 seats,2650,
Vehicle Level,2002,Light Rigid Trucks up to 4.5t GVM,6289,
Vehicle Level,2002,Heavy Rigid Trucks > 4.5t GVM,10691,
Vehicle Level,2002,Prime Movers,2722,
Vehicle Level,2002,Buses > 9 seats,2725,
Vehicle Level,2003,Light Rigid Trucks up to 4.5t GVM,5018,
Vehicle Level,2003,Heavy Rigid Trucks > 4.5t GVM,9943,
Vehicle Level,2003,Prime Movers,3598,
Vehicle Level,2003,Buses > 9 seats,2862,
Vehicle Level,2004,Light Rigid Trucks up to 4.5t GVM,6857,
Vehicle Level,2004,Heavy Rigid Trucks > 4.5t GVM,13575,
Vehicle Level,2004,Prime Movers,4306,
Vehicle Level,2004,Buses > 9 seats,2756,
Vehicle Level,2005,Light Rigid Trucks up to 4.5t GVM,7704,
Vehicle Level,2005,Heavy Rigid Trucks > 4.5t GVM,13885,
Vehicle Level,2005,Prime Movers,4628,
Vehicle Level,2005,Buses > 9 seats,3986,
Vehicle Level,2006,Light Rigid Trucks up to 4.5t GVM,6589,
Vehicle Level,2006,Heavy Rigid Trucks > 4.5t GVM,15062,
Vehicle Level,2006,Prime Movers,4485,
Vehicle Level,2006,Buses > 9 seats,4440,
Vehicle Level,2007,Light Rigid Trucks up to 4.5t GVM,7814,
Vehicle Level,2007,Heavy Rigid Trucks > 4.5t GVM,20712,
Vehicle Level,2007,Prime Movers,7911,
Vehicle Level,2007,Buses > 9 seats,4804,
Vehicle Level,2008,Light Rigid Trucks up to 4.5t GVM,8157,
Vehicle Level,2008,Heavy Rigid Trucks > 4.5t GVM,14508,
Vehicle Level,2008,Prime Movers,4019,
Vehicle Level,2008,Buses > 9 seats,6376,
Vehicle Level,2009,Light Rigid Trucks up to 4.5t GVM,6133,
Vehicle Level,2009,Heavy Rigid Trucks > 4.5t GVM,12644,
Vehicle Level,2009,Prime Movers,3067,
Vehicle Level,2009,Buses > 9 seats,4785,
Vehicle Level,2010,Light Rigid Trucks up to 4.5t GVM,8861,
Vehicle Level,2010,Heavy Rigid Trucks > 4.5t GVM,15397,
Vehicle Level,2010,Prime Movers,5565,
Vehicle Level,2010,Buses > 9 seats,5471,
Vehicle Level,2011,Light Rigid Trucks up to 4.5t GVM,6078,
Vehicle Level,2011,Heavy Rigid Trucks > 4.5t GVM,9810,
Vehicle Level,2011,Prime Movers,3333,
Vehicle Level,2011,Buses > 9 seats,5713,
Vehicle Level,2012,Light Rigid Trucks up to 4.5t GVM,7927,
Vehicle Level,2012,Heavy Rigid Trucks > 4.5t GVM,13569,
Vehicle Level,2012,Prime Movers,5736,
Vehicle Level,2012,Buses > 9 seats,5257,
Vehicle Level,2013,Light Rigid Trucks up to 4.5t GVM,7951,
Vehicle Level,2013,Heavy Rigid Trucks > 4.5t GVM,12119,
Vehicle Level,2013,Prime Movers,6381,
Vehicle Level,2013,Buses > 9 seats,4480,
Vehicle Level,2014,Light Rigid Trucks up to 4.5t GVM,8620,
Vehicle Level,2014,Heavy Rigid Trucks > 4.5t GVM,12531,
Vehicle Level,2014,Prime Movers,5940,
Vehicle Level,2014,Buses > 9 seats,4977,
Vehicle Level,2015,Light Rigid Trucks up to 4.5t GVM,9559,
Vehicle Level,2015,Heavy Rigid Trucks > 4.5t GVM,13004,
Vehicle Level,2015,Prime Movers,5011,
Vehicle Level,2015,Buses > 9 seats,4819,
Vehicle Level,2016,Light Rigid Trucks up to 4.5t GVM,8952,
Vehicle Level,2016,Heavy Rigid Trucks > 4.5t GVM,10804,
Vehicle Level,2016,Prime Movers,4489,
Vehicle Level,2016,Buses > 9 seats,4019,
Vehicle Level,2017,Light Rigid Trucks up to 4.5t GVM,103,
Vehicle Level,2017,Heavy Rigid Trucks > 4.5t GVM,42,
Vehicle Level,2017,Prime Movers,90,
Vehicle Level,2017,Buses > 9 seats,118,
Vehicle Level,2018,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2018,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2018,Prime Movers,0,
Vehicle Level,2018,Buses > 9 seats,0,
Vehicle Level,2019,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2019,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2019,Prime Movers,0,
Vehicle Level,2019,Buses > 9 seats,0,
Vehicle Level,2020,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2020,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2020,Prime Movers,0,
Vehicle Level,2020,Buses > 9 seats,0,
Vehicle Level,2021,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2021,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2021,Prime Movers,0,
Vehicle Level,2021,Buses > 9 seats,0,
Vehicle Level,Not stated,Light Rigid Trucks up to 4.5t GVM,355,
Vehicle Level,Not stated,Heavy Rigid Trucks > 4.5t GVM,358,
Vehicle Level,Not stated,Prime Movers,37,
Vehicle Level,Not stated,Buses > 9 seats,22,
Vehicle Level,Total,Light Rigid Trucks up to 4.5t GVM,150183,
Vehicle Level,Total,Heavy Rigid Trucks > 4.5t GVM,340705,
Vehicle Level,Total,Prime Movers,98103,
Vehicle Level,Total,Buses > 9 seats,96884,
,,,,
,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,
INFO,Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,
,,,,
,,,,
Symbol,Description,,,
#,No scaling applied,,,
,,,,
,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,
