Australian Bureau of Statistics,,,,,,
,,,,,,
"Motor Vehicle Use, 2020",,,,,,
Vehicle type and Year of manufacture groups by Use Type and Weighted sum of Kilometres travelled,,,,,,
Counting: Weighted sum of Kilometres travelled,,,,,,
,,,,,,
Vehicle type,Year of manufacture groups,Use Type,Summation Options,Count,RSE,Annotations
Rigid trucks,2004 and earlier,Total,Weighted sum of Kilometres travelled (^),1852.9,6.96,
Rigid trucks,2004 and earlier,Area of operation in capital city,Weighted sum of Kilometres travelled (^),784.9,9.82,
Rigid trucks,2004 and earlier,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),406.4,18.17,
Rigid trucks,2004 and earlier,Area of operation in other areas,Weighted sum of Kilometres travelled (^),595.8,11.74,
Rigid trucks,2005 to 2014,Total,Weighted sum of Kilometres travelled (^),4705.5,4.33,
Rigid trucks,2005 to 2014,Area of operation in capital city,Weighted sum of Kilometres travelled (^),2365.9,6.31,
Rigid trucks,2005 to 2014,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),1041,10.16,
Rigid trucks,2005 to 2014,Area of operation in other areas,Weighted sum of Kilometres travelled (^),1123.8,8.95,
Rigid trucks,2015 and after,Total,Weighted sum of Kilometres travelled (^),4417.1,6.69,
Rigid trucks,2015 and after,Area of operation in capital city,Weighted sum of Kilometres travelled (^),2385.4,6.61,
Rigid trucks,2015 and after,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),745.6,10.58,
Rigid trucks,2015 and after,Area of operation in other areas,Weighted sum of Kilometres travelled (^),1048.4,19.94,
Articulated trucks,2004 and earlier,Total,Weighted sum of Kilometres travelled (^),773.8,9.32,
Articulated trucks,2004 and earlier,Area of operation in capital city,Weighted sum of Kilometres travelled (^),211.7,13.24,
Articulated trucks,2004 and earlier,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),66.6,17.65,
Articulated trucks,2004 and earlier,Area of operation in other areas,Weighted sum of Kilometres travelled (^),408.2,12.91,
Articulated trucks,2005 to 2014,Total,Weighted sum of Kilometres travelled (^),3333.5,3.31,
Articulated trucks,2005 to 2014,Area of operation in capital city,Weighted sum of Kilometres travelled (^),777.1,7.18,
Articulated trucks,2005 to 2014,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),368.2,9.51,
Articulated trucks,2005 to 2014,Area of operation in other areas,Weighted sum of Kilometres travelled (^),1508.4,4.76,
Articulated trucks,2015 and after,Total,Weighted sum of Kilometres travelled (^),4074,2.02,
Articulated trucks,2015 and after,Area of operation in capital city,Weighted sum of Kilometres travelled (^),728,5.17,
Articulated trucks,2015 and after,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),465.9,8.73,
Articulated trucks,2015 and after,Area of operation in other areas,Weighted sum of Kilometres travelled (^),1600.7,4.35,
Non-freight carrying trucks,2004 and earlier,Total,Weighted sum of Kilometres travelled (^),31.6,23.1,
Non-freight carrying trucks,2004 and earlier,Area of operation in capital city,Weighted sum of Kilometres travelled (^),18.2,32.8,
Non-freight carrying trucks,2004 and earlier,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),5.6,55.59,
Non-freight carrying trucks,2004 and earlier,Area of operation in other areas,Weighted sum of Kilometres travelled (^),7.7,33.1,
Non-freight carrying trucks,2005 to 2014,Total,Weighted sum of Kilometres travelled (^),133.2,18.02,
Non-freight carrying trucks,2005 to 2014,Area of operation in capital city,Weighted sum of Kilometres travelled (^),79.4,27.49,
Non-freight carrying trucks,2005 to 2014,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),31.3,32.5,
Non-freight carrying trucks,2005 to 2014,Area of operation in other areas,Weighted sum of Kilometres travelled (^),17.8,34.3,
Non-freight carrying trucks,2015 and after,Total,Weighted sum of Kilometres travelled (^),156.3,18.2,
Non-freight carrying trucks,2015 and after,Area of operation in capital city,Weighted sum of Kilometres travelled (^),114.5,21.82,
Non-freight carrying trucks,2015 and after,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),14.3,64.8,
Non-freight carrying trucks,2015 and after,Area of operation in other areas,Weighted sum of Kilometres travelled (^),27.6,24.34,
Buses,2004 and earlier,Total,Weighted sum of Kilometres travelled (^),291,14.33,
Buses,2004 and earlier,Area of operation in capital city,Weighted sum of Kilometres travelled (^),205.6,18.63,
Buses,2004 and earlier,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),37.8,26.93,
Buses,2004 and earlier,Area of operation in other areas,Weighted sum of Kilometres travelled (^),40.7,23.36,
Buses,2005 to 2014,Total,Weighted sum of Kilometres travelled (^),1176.6,7.85,
Buses,2005 to 2014,Area of operation in capital city,Weighted sum of Kilometres travelled (^),757,9.36,
Buses,2005 to 2014,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),187.9,21.12,
Buses,2005 to 2014,Area of operation in other areas,Weighted sum of Kilometres travelled (^),198.4,15.57,
Buses,2015 and after,Total,Weighted sum of Kilometres travelled (^),658.6,11.69,
Buses,2015 and after,Area of operation in capital city,Weighted sum of Kilometres travelled (^),347.2,12.43,
Buses,2015 and after,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),142.8,32.01,
Buses,2015 and after,Area of operation in other areas,Weighted sum of Kilometres travelled (^),156.6,24.69,
Total,2004 and earlier,Total,Weighted sum of Kilometres travelled (^),2949.3,5.23,
Total,2004 and earlier,Area of operation in capital city,Weighted sum of Kilometres travelled (^),1220.3,6.99,
Total,2004 and earlier,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),516.4,14.79,
Total,2004 and earlier,Area of operation in other areas,Weighted sum of Kilometres travelled (^),1052.4,8.65,
Total,2005 to 2014,Total,Weighted sum of Kilometres travelled (^),9348.8,2.69,
Total,2005 to 2014,Area of operation in capital city,Weighted sum of Kilometres travelled (^),3979.3,4.45,
Total,2005 to 2014,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),1628.3,7.25,
Total,2005 to 2014,Area of operation in other areas,Weighted sum of Kilometres travelled (^),2848.4,4.61,
Total,2015 and after,Total,Weighted sum of Kilometres travelled (^),9306,3.32,
Total,2015 and after,Area of operation in capital city,Weighted sum of Kilometres travelled (^),3575,4.7,
Total,2015 and after,Area of operation in other urban areas,Weighted sum of Kilometres travelled (^),1368.5,7.45,
Total,2015 and after,Area of operation in other areas,Weighted sum of Kilometres travelled (^),2833.2,8.04,
,,,,,,
,,,,,,
Symbol,Description,,,,,
^,'000'000,,,,,
,,,,,,
,,,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,,,
