Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2020",,,,
Year of manufacture and Vehicle type,,,,
Counting: Vehicle Level,,,,
,,,,
Filters:,,,,
Default Summation,Vehicle Level (#),,,
,,,,
Counting,Year of manufacture,Vehicle type,Count,Annotations
Vehicle Level,1960,Light Rigid Trucks up to 4.5t GVM,14,
Vehicle Level,1960,Heavy Rigid Trucks > 4.5t GVM,70,
Vehicle Level,1960,Prime Movers,3,
Vehicle Level,1960,Buses > 9 seats,0,
Vehicle Level,1961,Light Rigid Trucks up to 4.5t GVM,9,
Vehicle Level,1961,Heavy Rigid Trucks > 4.5t GVM,59,
Vehicle Level,1961,Prime Movers,3,
Vehicle Level,1961,Buses > 9 seats,3,
Vehicle Level,1962,Light Rigid Trucks up to 4.5t GVM,9,
Vehicle Level,1962,Heavy Rigid Trucks > 4.5t GVM,138,
Vehicle Level,1962,Prime Movers,0,
Vehicle Level,1962,Buses > 9 seats,3,
Vehicle Level,1963,Light Rigid Trucks up to 4.5t GVM,14,
Vehicle Level,1963,Heavy Rigid Trucks > 4.5t GVM,193,
Vehicle Level,1963,Prime Movers,6,
Vehicle Level,1963,Buses > 9 seats,3,
Vehicle Level,1964,Light Rigid Trucks up to 4.5t GVM,23,
Vehicle Level,1964,Heavy Rigid Trucks > 4.5t GVM,238,
Vehicle Level,1964,Prime Movers,13,
Vehicle Level,1964,Buses > 9 seats,3,
Vehicle Level,1965,Light Rigid Trucks up to 4.5t GVM,15,
Vehicle Level,1965,Heavy Rigid Trucks > 4.5t GVM,281,
Vehicle Level,1965,Prime Movers,7,
Vehicle Level,1965,Buses > 9 seats,7,
Vehicle Level,1966,Light Rigid Trucks up to 4.5t GVM,23,
Vehicle Level,1966,Heavy Rigid Trucks > 4.5t GVM,337,
Vehicle Level,1966,Prime Movers,16,
Vehicle Level,1966,Buses > 9 seats,6,
Vehicle Level,1967,Light Rigid Trucks up to 4.5t GVM,31,
Vehicle Level,1967,Heavy Rigid Trucks > 4.5t GVM,346,
Vehicle Level,1967,Prime Movers,13,
Vehicle Level,1967,Buses > 9 seats,7,
Vehicle Level,1968,Light Rigid Trucks up to 4.5t GVM,48,
Vehicle Level,1968,Heavy Rigid Trucks > 4.5t GVM,451,
Vehicle Level,1968,Prime Movers,21,
Vehicle Level,1968,Buses > 9 seats,4,
Vehicle Level,1969,Light Rigid Trucks up to 4.5t GVM,44,
Vehicle Level,1969,Heavy Rigid Trucks > 4.5t GVM,452,
Vehicle Level,1969,Prime Movers,38,
Vehicle Level,1969,Buses > 9 seats,3,
Vehicle Level,1970,Light Rigid Trucks up to 4.5t GVM,46,
Vehicle Level,1970,Heavy Rigid Trucks > 4.5t GVM,637,
Vehicle Level,1970,Prime Movers,61,
Vehicle Level,1970,Buses > 9 seats,13,
Vehicle Level,1971,Light Rigid Trucks up to 4.5t GVM,59,
Vehicle Level,1971,Heavy Rigid Trucks > 4.5t GVM,455,
Vehicle Level,1971,Prime Movers,48,
Vehicle Level,1971,Buses > 9 seats,3,
Vehicle Level,1972,Light Rigid Trucks up to 4.5t GVM,80,
Vehicle Level,1972,Heavy Rigid Trucks > 4.5t GVM,547,
Vehicle Level,1972,Prime Movers,43,
Vehicle Level,1972,Buses > 9 seats,17,
Vehicle Level,1973,Light Rigid Trucks up to 4.5t GVM,80,
Vehicle Level,1973,Heavy Rigid Trucks > 4.5t GVM,767,
Vehicle Level,1973,Prime Movers,71,
Vehicle Level,1973,Buses > 9 seats,9,
Vehicle Level,1974,Light Rigid Trucks up to 4.5t GVM,125,
Vehicle Level,1974,Heavy Rigid Trucks > 4.5t GVM,942,
Vehicle Level,1974,Prime Movers,96,
Vehicle Level,1974,Buses > 9 seats,13,
Vehicle Level,1975,Light Rigid Trucks up to 4.5t GVM,188,
Vehicle Level,1975,Heavy Rigid Trucks > 4.5t GVM,1119,
Vehicle Level,1975,Prime Movers,118,
Vehicle Level,1975,Buses > 9 seats,11,
Vehicle Level,1976,Light Rigid Trucks up to 4.5t GVM,219,
Vehicle Level,1976,Heavy Rigid Trucks > 4.5t GVM,1568,
Vehicle Level,1976,Prime Movers,228,
Vehicle Level,1976,Buses > 9 seats,9,
Vehicle Level,1977,Light Rigid Trucks up to 4.5t GVM,283,
Vehicle Level,1977,Heavy Rigid Trucks > 4.5t GVM,1385,
Vehicle Level,1977,Prime Movers,226,
Vehicle Level,1977,Buses > 9 seats,23,
Vehicle Level,1978,Light Rigid Trucks up to 4.5t GVM,274,
Vehicle Level,1978,Heavy Rigid Trucks > 4.5t GVM,1472,
Vehicle Level,1978,Prime Movers,259,
Vehicle Level,1978,Buses > 9 seats,46,
Vehicle Level,1979,Light Rigid Trucks up to 4.5t GVM,268,
Vehicle Level,1979,Heavy Rigid Trucks > 4.5t GVM,1779,
Vehicle Level,1979,Prime Movers,355,
Vehicle Level,1979,Buses > 9 seats,30,
Vehicle Level,1980,Light Rigid Trucks up to 4.5t GVM,249,
Vehicle Level,1980,Heavy Rigid Trucks > 4.5t GVM,2255,
Vehicle Level,1980,Prime Movers,363,
Vehicle Level,1980,Buses > 9 seats,58,
Vehicle Level,1981,Light Rigid Trucks up to 4.5t GVM,307,
Vehicle Level,1981,Heavy Rigid Trucks > 4.5t GVM,2529,
Vehicle Level,1981,Prime Movers,341,
Vehicle Level,1981,Buses > 9 seats,55,
Vehicle Level,1982,Light Rigid Trucks up to 4.5t GVM,320,
Vehicle Level,1982,Heavy Rigid Trucks > 4.5t GVM,2358,
Vehicle Level,1982,Prime Movers,285,
Vehicle Level,1982,Buses > 9 seats,95,
Vehicle Level,1983,Light Rigid Trucks up to 4.5t GVM,233,
Vehicle Level,1983,Heavy Rigid Trucks > 4.5t GVM,2108,
Vehicle Level,1983,Prime Movers,195,
Vehicle Level,1983,Buses > 9 seats,110,
Vehicle Level,1984,Light Rigid Trucks up to 4.5t GVM,482,
Vehicle Level,1984,Heavy Rigid Trucks > 4.5t GVM,3484,
Vehicle Level,1984,Prime Movers,418,
Vehicle Level,1984,Buses > 9 seats,195,
Vehicle Level,1985,Light Rigid Trucks up to 4.5t GVM,716,
Vehicle Level,1985,Heavy Rigid Trucks > 4.5t GVM,5481,
Vehicle Level,1985,Prime Movers,629,
Vehicle Level,1985,Buses > 9 seats,246,
Vehicle Level,1986,Light Rigid Trucks up to 4.5t GVM,620,
Vehicle Level,1986,Heavy Rigid Trucks > 4.5t GVM,4107,
Vehicle Level,1986,Prime Movers,520,
Vehicle Level,1986,Buses > 9 seats,240,
Vehicle Level,1987,Light Rigid Trucks up to 4.5t GVM,638,
Vehicle Level,1987,Heavy Rigid Trucks > 4.5t GVM,3690,
Vehicle Level,1987,Prime Movers,471,
Vehicle Level,1987,Buses > 9 seats,278,
Vehicle Level,1988,Light Rigid Trucks up to 4.5t GVM,1195,
Vehicle Level,1988,Heavy Rigid Trucks > 4.5t GVM,5436,
Vehicle Level,1988,Prime Movers,795,
Vehicle Level,1988,Buses > 9 seats,388,
Vehicle Level,1989,Light Rigid Trucks up to 4.5t GVM,1217,
Vehicle Level,1989,Heavy Rigid Trucks > 4.5t GVM,5879,
Vehicle Level,1989,Prime Movers,804,
Vehicle Level,1989,Buses > 9 seats,529,
Vehicle Level,1990,Light Rigid Trucks up to 4.5t GVM,1181,
Vehicle Level,1990,Heavy Rigid Trucks > 4.5t GVM,5269,
Vehicle Level,1990,Prime Movers,713,
Vehicle Level,1990,Buses > 9 seats,716,
Vehicle Level,1991,Light Rigid Trucks up to 4.5t GVM,856,
Vehicle Level,1991,Heavy Rigid Trucks > 4.5t GVM,3496,
Vehicle Level,1991,Prime Movers,317,
Vehicle Level,1991,Buses > 9 seats,790,
Vehicle Level,1992,Light Rigid Trucks up to 4.5t GVM,1124,
Vehicle Level,1992,Heavy Rigid Trucks > 4.5t GVM,4298,
Vehicle Level,1992,Prime Movers,460,
Vehicle Level,1992,Buses > 9 seats,1053,
Vehicle Level,1993,Light Rigid Trucks up to 4.5t GVM,1117,
Vehicle Level,1993,Heavy Rigid Trucks > 4.5t GVM,4369,
Vehicle Level,1993,Prime Movers,898,
Vehicle Level,1993,Buses > 9 seats,1043,
Vehicle Level,1994,Light Rigid Trucks up to 4.5t GVM,1430,
Vehicle Level,1994,Heavy Rigid Trucks > 4.5t GVM,5866,
Vehicle Level,1994,Prime Movers,1453,
Vehicle Level,1994,Buses > 9 seats,1466,
Vehicle Level,1995,Light Rigid Trucks up to 4.5t GVM,1496,
Vehicle Level,1995,Heavy Rigid Trucks > 4.5t GVM,5287,
Vehicle Level,1995,Prime Movers,1394,
Vehicle Level,1995,Buses > 9 seats,1609,
Vehicle Level,1996,Light Rigid Trucks up to 4.5t GVM,1456,
Vehicle Level,1996,Heavy Rigid Trucks > 4.5t GVM,5114,
Vehicle Level,1996,Prime Movers,1243,
Vehicle Level,1996,Buses > 9 seats,1476,
Vehicle Level,1997,Light Rigid Trucks up to 4.5t GVM,1664,
Vehicle Level,1997,Heavy Rigid Trucks > 4.5t GVM,5944,
Vehicle Level,1997,Prime Movers,1573,
Vehicle Level,1997,Buses > 9 seats,1751,
Vehicle Level,1998,Light Rigid Trucks up to 4.5t GVM,2294,
Vehicle Level,1998,Heavy Rigid Trucks > 4.5t GVM,7386,
Vehicle Level,1998,Prime Movers,1980,
Vehicle Level,1998,Buses > 9 seats,2161,
Vehicle Level,1999,Light Rigid Trucks up to 4.5t GVM,2796,
Vehicle Level,1999,Heavy Rigid Trucks > 4.5t GVM,7333,
Vehicle Level,1999,Prime Movers,1752,
Vehicle Level,1999,Buses > 9 seats,2233,
Vehicle Level,2000,Light Rigid Trucks up to 4.5t GVM,3020,
Vehicle Level,2000,Heavy Rigid Trucks > 4.5t GVM,7217,
Vehicle Level,2000,Prime Movers,1661,
Vehicle Level,2000,Buses > 9 seats,2711,
Vehicle Level,2001,Light Rigid Trucks up to 4.5t GVM,3784,
Vehicle Level,2001,Heavy Rigid Trucks > 4.5t GVM,6971,
Vehicle Level,2001,Prime Movers,1636,
Vehicle Level,2001,Buses > 9 seats,2232,
Vehicle Level,2002,Light Rigid Trucks up to 4.5t GVM,5827,
Vehicle Level,2002,Heavy Rigid Trucks > 4.5t GVM,9899,
Vehicle Level,2002,Prime Movers,2320,
Vehicle Level,2002,Buses > 9 seats,2286,
Vehicle Level,2003,Light Rigid Trucks up to 4.5t GVM,4513,
Vehicle Level,2003,Heavy Rigid Trucks > 4.5t GVM,9311,
Vehicle Level,2003,Prime Movers,3130,
Vehicle Level,2003,Buses > 9 seats,2495,
Vehicle Level,2004,Light Rigid Trucks up to 4.5t GVM,6221,
Vehicle Level,2004,Heavy Rigid Trucks > 4.5t GVM,12833,
Vehicle Level,2004,Prime Movers,3838,
Vehicle Level,2004,Buses > 9 seats,2380,
Vehicle Level,2005,Light Rigid Trucks up to 4.5t GVM,7159,
Vehicle Level,2005,Heavy Rigid Trucks > 4.5t GVM,13320,
Vehicle Level,2005,Prime Movers,4016,
Vehicle Level,2005,Buses > 9 seats,3524,
Vehicle Level,2006,Light Rigid Trucks up to 4.5t GVM,6094,
Vehicle Level,2006,Heavy Rigid Trucks > 4.5t GVM,14621,
Vehicle Level,2006,Prime Movers,4014,
Vehicle Level,2006,Buses > 9 seats,4035,
Vehicle Level,2007,Light Rigid Trucks up to 4.5t GVM,7176,
Vehicle Level,2007,Heavy Rigid Trucks > 4.5t GVM,20119,
Vehicle Level,2007,Prime Movers,7075,
Vehicle Level,2007,Buses > 9 seats,4433,
Vehicle Level,2008,Light Rigid Trucks up to 4.5t GVM,7517,
Vehicle Level,2008,Heavy Rigid Trucks > 4.5t GVM,14244,
Vehicle Level,2008,Prime Movers,3558,
Vehicle Level,2008,Buses > 9 seats,5909,
Vehicle Level,2009,Light Rigid Trucks up to 4.5t GVM,5778,
Vehicle Level,2009,Heavy Rigid Trucks > 4.5t GVM,12366,
Vehicle Level,2009,Prime Movers,2813,
Vehicle Level,2009,Buses > 9 seats,4565,
Vehicle Level,2010,Light Rigid Trucks up to 4.5t GVM,8116,
Vehicle Level,2010,Heavy Rigid Trucks > 4.5t GVM,15148,
Vehicle Level,2010,Prime Movers,5086,
Vehicle Level,2010,Buses > 9 seats,5263,
Vehicle Level,2011,Light Rigid Trucks up to 4.5t GVM,5681,
Vehicle Level,2011,Heavy Rigid Trucks > 4.5t GVM,9691,
Vehicle Level,2011,Prime Movers,3049,
Vehicle Level,2011,Buses > 9 seats,5690,
Vehicle Level,2012,Light Rigid Trucks up to 4.5t GVM,7389,
Vehicle Level,2012,Heavy Rigid Trucks > 4.5t GVM,13477,
Vehicle Level,2012,Prime Movers,5285,
Vehicle Level,2012,Buses > 9 seats,5153,
Vehicle Level,2013,Light Rigid Trucks up to 4.5t GVM,7492,
Vehicle Level,2013,Heavy Rigid Trucks > 4.5t GVM,12023,
Vehicle Level,2013,Prime Movers,5688,
Vehicle Level,2013,Buses > 9 seats,4408,
Vehicle Level,2014,Light Rigid Trucks up to 4.5t GVM,7999,
Vehicle Level,2014,Heavy Rigid Trucks > 4.5t GVM,12467,
Vehicle Level,2014,Prime Movers,5354,
Vehicle Level,2014,Buses > 9 seats,4937,
Vehicle Level,2015,Light Rigid Trucks up to 4.5t GVM,9046,
Vehicle Level,2015,Heavy Rigid Trucks > 4.5t GVM,13049,
Vehicle Level,2015,Prime Movers,4675,
Vehicle Level,2015,Buses > 9 seats,4724,
Vehicle Level,2016,Light Rigid Trucks up to 4.5t GVM,10192,
Vehicle Level,2016,Heavy Rigid Trucks > 4.5t GVM,13252,
Vehicle Level,2016,Prime Movers,4777,
Vehicle Level,2016,Buses > 9 seats,4450,
Vehicle Level,2017,Light Rigid Trucks up to 4.5t GVM,13054,
Vehicle Level,2017,Heavy Rigid Trucks > 4.5t GVM,14851,
Vehicle Level,2017,Prime Movers,6285,
Vehicle Level,2017,Buses > 9 seats,4632,
Vehicle Level,2018,Light Rigid Trucks up to 4.5t GVM,15311,
Vehicle Level,2018,Heavy Rigid Trucks > 4.5t GVM,17112,
Vehicle Level,2018,Prime Movers,7368,
Vehicle Level,2018,Buses > 9 seats,5055,
Vehicle Level,2019,Light Rigid Trucks up to 4.5t GVM,11469,
Vehicle Level,2019,Heavy Rigid Trucks > 4.5t GVM,11179,
Vehicle Level,2019,Prime Movers,5193,
Vehicle Level,2019,Buses > 9 seats,4686,
Vehicle Level,2020,Light Rigid Trucks up to 4.5t GVM,87,
Vehicle Level,2020,Heavy Rigid Trucks > 4.5t GVM,35,
Vehicle Level,2020,Prime Movers,70,
Vehicle Level,2020,Buses > 9 seats,138,
Vehicle Level,2021,Light Rigid Trucks up to 4.5t GVM,0,
Vehicle Level,2021,Heavy Rigid Trucks > 4.5t GVM,0,
Vehicle Level,2021,Prime Movers,0,
Vehicle Level,2021,Buses > 9 seats,0,
Vehicle Level,Not stated,Light Rigid Trucks up to 4.5t GVM,349,
Vehicle Level,Not stated,Heavy Rigid Trucks > 4.5t GVM,312,
Vehicle Level,Not stated,Prime Movers,32,
Vehicle Level,Not stated,Buses > 9 seats,34,
Vehicle Level,Total,Light Rigid Trucks up to 4.5t GVM,176510,
Vehicle Level,Total,Heavy Rigid Trucks > 4.5t GVM,358447,
Vehicle Level,Total,Prime Movers,105124,
Vehicle Level,Total,Buses > 9 seats,100430,
,,,,
,,,,
INFO,Cells in this table have been randomly adjusted to avoid the release of confidential data. Discrepancies may occur between sums of the component items and totals.,,,
INFO,Continuous variables in this table have been randomly adjusted to avoid the release of confidential data.,,,
,,,,
,,,,
Symbol,Description,,,
#,No scaling applied,,,
,,,,
,,,,
"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright",,,,
"ABS data licensed under Creative Commons, see abs.gov.au/ccby",,,,
