Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2013",,,,
Year of Manufacture and Vehicle type,,,,
Counting: Vehicles,,,,
,,,,
Filters:,,,,
Default Summation,Vehicles (#),,,
,,,,
Counting,Year of Manufacture,Vehicle type,Count,Annotations
Vehicles,1960,Light Rigid Trucks up to 4.5t GVM,14,
Vehicles,1960,Heavy Rigid Trucks > 4.5t GVM,155,
Vehicles,1960,Prime Movers,3,
Vehicles,1960,Buses > 9 seats,3,
Vehicles,1961,Light Rigid Trucks up to 4.5t GVM,14,
Vehicles,1961,Heavy Rigid Trucks > 4.5t GVM,134,
Vehicles,1961,Prime Movers,5,
Vehicles,1961,Buses > 9 seats,3,
Vehicles,1962,Light Rigid Trucks up to 4.5t GVM,15,
Vehicles,1962,Heavy Rigid Trucks > 4.5t GVM,272,
Vehicles,1962,Prime Movers,3,
Vehicles,1962,Buses > 9 seats,3,
Vehicles,1963,Light Rigid Trucks up to 4.5t GVM,33,
Vehicles,1963,Heavy Rigid Trucks > 4.5t GVM,369,
Vehicles,1963,Prime Movers,8,
Vehicles,1963,Buses > 9 seats,4,
Vehicles,1964,Light Rigid Trucks up to 4.5t GVM,30,
Vehicles,1964,Heavy Rigid Trucks > 4.5t GVM,508,
Vehicles,1964,Prime Movers,28,
Vehicles,1964,Buses > 9 seats,3,
Vehicles,1965,Light Rigid Trucks up to 4.5t GVM,41,
Vehicles,1965,Heavy Rigid Trucks > 4.5t GVM,548,
Vehicles,1965,Prime Movers,15,
Vehicles,1965,Buses > 9 seats,7,
Vehicles,1966,Light Rigid Trucks up to 4.5t GVM,44,
Vehicles,1966,Heavy Rigid Trucks > 4.5t GVM,622,
Vehicles,1966,Prime Movers,24,
Vehicles,1966,Buses > 9 seats,11,
Vehicles,1967,Light Rigid Trucks up to 4.5t GVM,66,
Vehicles,1967,Heavy Rigid Trucks > 4.5t GVM,663,
Vehicles,1967,Prime Movers,19,
Vehicles,1967,Buses > 9 seats,4,
Vehicles,1968,Light Rigid Trucks up to 4.5t GVM,66,
Vehicles,1968,Heavy Rigid Trucks > 4.5t GVM,937,
Vehicles,1968,Prime Movers,44,
Vehicles,1968,Buses > 9 seats,13,
Vehicles,1969,Light Rigid Trucks up to 4.5t GVM,70,
Vehicles,1969,Heavy Rigid Trucks > 4.5t GVM,944,
Vehicles,1969,Prime Movers,59,
Vehicles,1969,Buses > 9 seats,9,
Vehicles,1970,Light Rigid Trucks up to 4.5t GVM,106,
Vehicles,1970,Heavy Rigid Trucks > 4.5t GVM,1309,
Vehicles,1970,Prime Movers,119,
Vehicles,1970,Buses > 9 seats,25,
Vehicles,1971,Light Rigid Trucks up to 4.5t GVM,97,
