Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2016",,,,
Year of manufacture and Vehicle type,,,,
Counting: Vehicles,,,,
,,,,
Filters:,,,,
Default Summation,Vehicles (#),,,
,,,,
Counting,Year of manufacture,Vehicle type,Count,Annotations
Vehicles,1960,Light Rigid Trucks up to 4.5t GVM,6,
Vehicles,1960,Heavy Rigid Trucks > 4.5t GVM,114,
Vehicles,1960,Prime Movers,0,
Vehicles,1960,Buses > 9 seats,3,
Vehicles,1961,Light Rigid Trucks up to 4.5t GVM,14,
Vehicles,1961,Heavy Rigid Trucks > 4.5t GVM,101,
Vehicles,1961,Prime Movers,3,
Vehicles,1961,Buses > 9 seats,3,
Vehicles,1962,Light Rigid Trucks up to 4.5t GVM,17,
Vehicles,1962,Heavy Rigid Trucks > 4.5t GVM,193,
Vehicles,1962,Prime Movers,3,
Vehicles,1962,Buses > 9 seats,3,
Vehicles,1963,Light Rigid Trucks up to 4.5t GVM,23,
Vehicles,1963,Heavy Rigid Trucks > 4.5t GVM,290,
Vehicles,1963,Prime Movers,3,
Vehicles,1963,Buses > 9 seats,3,
Vehicles,1964,Light Rigid Trucks up to 4.5t GVM,25,
Vehicles,1964,Heavy Rigid Trucks > 4.5t GVM,350,
Vehicles,1964,Prime Movers,15,
Vehicles,1964,Buses > 9 seats,3,
Vehicles,1965,Light Rigid Trucks up to 4.5t GVM,32,
Vehicles,1965,Heavy Rigid Trucks > 4.5t GVM,427,
Vehicles,1965,Prime Movers,5,
Vehicles,1965,Buses > 9 seats,9,
Vehicles,1966,Light Rigid Trucks up to 4.5t GVM,31,
Vehicles,1966,Heavy Rigid Trucks > 4.5t GVM,463,
Vehicles,1966,Prime Movers,15,
Vehicles,1966,Buses > 9 seats,3,
Vehicles,1967,Light Rigid Trucks up to 4.5t GVM,49,
Vehicles,1967,Heavy Rigid Trucks > 4.5t GVM,493,
Vehicles,1967,Prime Movers,18,
Vehicles,1967,Buses > 9 seats,10,
Vehicles,1968,Light Rigid Trucks up to 4.5t GVM,53,
Vehicles,1968,Heavy Rigid Trucks > 4.5t GVM,676,
Vehicles,1968,Prime Movers,31,
Vehicles,1968,Buses > 9 seats,7,
Vehicles,1969,Light Rigid Trucks up to 4.5t GVM,61,
Vehicles,1969,Heavy Rigid Trucks > 4.5t GVM,680,
Vehicles,1969,Prime Movers,46,
Vehicles,1969,Buses > 9 seats,3,
Vehicles,1970,Light Rigid Trucks up to 4.5t GVM,76,
Vehicles,1970,Heavy Rigid Trucks > 4.5t GVM,954,
Vehicles,1970,Prime Movers,81,
Vehicles,1970,Buses > 9 seats,15,
Vehicles,1971,Light Rigid Trucks up to 4.5t GVM,76,
