Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2015",,,,
Year of Manufacture and Vehicle type,,,,
Counting: Vehicles,,,,
,,,,
Filters:,,,,
Default Summation,Vehicles (#),,,
,,,,
Counting,Year of Manufacture,Vehicle type,Count,Annotations
Vehicles,1960,Light Rigid Trucks up to 4.5t GVM,11,
Vehicles,1960,Heavy Rigid Trucks > 4.5t GVM,134,
Vehicles,1960,Prime Movers,0,
Vehicles,1960,Buses > 9 seats,0,
Vehicles,1961,Light Rigid Trucks up to 4.5t GVM,11,
Vehicles,1961,Heavy Rigid Trucks > 4.5t GVM,108,
Vehicles,1961,Prime Movers,3,
Vehicles,1961,Buses > 9 seats,3,
Vehicles,1962,Light Rigid Trucks up to 4.5t GVM,15,
Vehicles,1962,Heavy Rigid Trucks > 4.5t GVM,208,
Vehicles,1962,Prime Movers,5,
Vehicles,1962,Buses > 9 seats,3,
Vehicles,1963,Light Rigid Trucks up to 4.5t GVM,27,
Vehicles,1963,Heavy Rigid Trucks > 4.5t GVM,315,
Vehicles,1963,Prime Movers,5,
Vehicles,1963,Buses > 9 seats,3,
Vehicles,1964,Light Rigid Trucks up to 4.5t GVM,31,
Vehicles,1964,Heavy Rigid Trucks > 4.5t GVM,403,
Vehicles,1964,Prime Movers,20,
Vehicles,1964,Buses > 9 seats,3,
Vehicles,1965,Light Rigid Trucks up to 4.5t GVM,39,
Vehicles,1965,Heavy Rigid Trucks > 4.5t GVM,460,
Vehicles,1965,Prime Movers,5,
Vehicles,1965,Buses > 9 seats,6,
Vehicles,1966,Light Rigid Trucks up to 4.5t GVM,35,
Vehicles,1966,Heavy Rigid Trucks > 4.5t GVM,503,
Vehicles,1966,Prime Movers,21,
Vehicles,1966,Buses > 9 seats,6,
Vehicles,1967,Light Rigid Trucks up to 4.5t GVM,55,
Vehicles,1967,Heavy Rigid Trucks > 4.5t GVM,542,
Vehicles,1967,Prime Movers,20,
Vehicles,1967,Buses > 9 seats,6,
Vehicles,1968,Light Rigid Trucks up to 4.5t GVM,57,
Vehicles,1968,Heavy Rigid Trucks > 4.5t GVM,760,
Vehicles,1968,Prime Movers,41,
Vehicles,1968,Buses > 9 seats,12,
Vehicles,1969,Light Rigid Trucks up to 4.5t GVM,62,
Vehicles,1969,Heavy Rigid Trucks > 4.5t GVM,751,
Vehicles,1969,Prime Movers,50,
Vehicles,1969,Buses > 9 seats,3,
Vehicles,1970,Light Rigid Trucks up to 4.5t GVM,78,
Vehicles,1970,Heavy Rigid Trucks > 4.5t GVM,1048,
Vehicles,1970,Prime Movers,83,
Vehicles,1970,Buses > 9 seats,16,
Vehicles,1971,Light Rigid Trucks up to 4.5t GVM,77,
