pollutant_year,health_cost_total_prop,vkt_prop
1996-2002,0.1508126880149616,0.04907963092233313
2003-2008,0.16799286159976978,0.12903323474192216
2009-2015,0.20385961624347526,0.2650127871921838
post 2015,0.34177178278026077,0.5277836843402565
pre 1996,0.13556305136153265,0.029090662803304402
