Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2014",,,,
"Year of Manufacture, Vehicle type and Vehicles",,,,
Counting: Vehicles,,,,
,,,,
Year of Manufacture,Vehicle type,Counting,Count,Annotations
1960,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),9,
1960,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),147,
1960,Prime Movers,Vehicles (#),3,
1960,Buses > 9 seats,Vehicles (#),0,
1960,Tow Trucks,Vehicles (#),0,
1960,Fire Appliances,Vehicles (#),9,
1960,Trucks with Machinery Mounted,Vehicles (#),0,
1960,Other Non Freight Carrying Trucks,Vehicles (#),0,
1961,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),10,
1961,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),125,
1961,Prime Movers,Vehicles (#),3,
1961,Buses > 9 seats,Vehicles (#),3,
1961,Tow Trucks,Vehicles (#),0,
1961,Fire Appliances,Vehicles (#),3,
1961,Trucks with Machinery Mounted,Vehicles (#),3,
1961,Other Non Freight Carrying Trucks,Vehicles (#),0,
1962,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),17,
1962,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),240,
1962,Prime Movers,Vehicles (#),3,
1962,Buses > 9 seats,Vehicles (#),3,
1962,Tow Trucks,Vehicles (#),0,
1962,Fire Appliances,Vehicles (#),17,
1962,Trucks with Machinery Mounted,Vehicles (#),3,
1962,Other Non Freight Carrying Trucks,Vehicles (#),0,
1963,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),27,
1963,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),334,
1963,Prime Movers,Vehicles (#),5,
1963,Buses > 9 seats,Vehicles (#),3,
1963,Tow Trucks,Vehicles (#),0,
1963,Fire Appliances,Vehicles (#),15,
1963,Trucks with Machinery Mounted,Vehicles (#),0,
1963,Other Non Freight Carrying Trucks,Vehicles (#),3,
1964,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),29,
1964,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),460,
1964,Prime Movers,Vehicles (#),19,
1964,Buses > 9 seats,Vehicles (#),3,
1964,Tow Trucks,Vehicles (#),0,
1964,Fire Appliances,Vehicles (#),17,
1964,Trucks with Machinery Mounted,Vehicles (#),3,
1964,Other Non Freight Carrying Trucks,Vehicles (#),3,
1965,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),40,
1965,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),511,
1965,Prime Movers,Vehicles (#),10,
1965,Buses > 9 seats,Vehicles (#),7,
1965,Tow Trucks,Vehicles (#),3,
1965,Fire Appliances,Vehicles (#),30,
1965,Trucks with Machinery Mounted,Vehicles (#),7,
1965,Other Non Freight Carrying Trucks,Vehicles (#),0,
1966,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),32,
1966,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),558,
1966,Prime Movers,Vehicles (#),21,
1966,Buses > 9 seats,Vehicles (#),5,
1966,Tow Trucks,Vehicles (#),4,
1966,Fire Appliances,Vehicles (#),12,
1966,Trucks with Machinery Mounted,Vehicles (#),3,
1966,Other Non Freight Carrying Trucks,Vehicles (#),0,
1967,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),62,
1967,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),596,
1967,Prime Movers,Vehicles (#),23,
1967,Buses > 9 seats,Vehicles (#),9,
1967,Tow Trucks,Vehicles (#),5,
1967,Fire Appliances,Vehicles (#),25,
1967,Trucks with Machinery Mounted,Vehicles (#),3,
1967,Other Non Freight Carrying Trucks,Vehicles (#),0,
1968,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),60,
1968,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),856,
1968,Prime Movers,Vehicles (#),35,
1968,Buses > 9 seats,Vehicles (#),6,
1968,Tow Trucks,Vehicles (#),5,
1968,Fire Appliances,Vehicles (#),24,
1968,Trucks with Machinery Mounted,Vehicles (#),8,
1968,Other Non Freight Carrying Trucks,Vehicles (#),0,
1969,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),65,
1969,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),840,
1969,Prime Movers,Vehicles (#),58,
1969,Buses > 9 seats,Vehicles (#),7,
1969,Tow Trucks,Vehicles (#),3,
1969,Fire Appliances,Vehicles (#),25,
1969,Trucks with Machinery Mounted,Vehicles (#),14,
1969,Other Non Freight Carrying Trucks,Vehicles (#),3,
1970,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),89,
1970,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1159,
1970,Prime Movers,Vehicles (#),100,
1970,Buses > 9 seats,Vehicles (#),20,
1970,Tow Trucks,Vehicles (#),22,
1970,Fire Appliances,Vehicles (#),43,
1970,Trucks with Machinery Mounted,Vehicles (#),10,
1970,Other Non Freight Carrying Trucks,Vehicles (#),0,
1971,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),93,
1971,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),825,
1971,Prime Movers,Vehicles (#),88,
1971,Buses > 9 seats,Vehicles (#),15,
1971,Tow Trucks,Vehicles (#),4,
1971,Fire Appliances,Vehicles (#),39,
1971,Trucks with Machinery Mounted,Vehicles (#),11,
1971,Other Non Freight Carrying Trucks,Vehicles (#),3,
1972,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),103,
1972,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),971,
1972,Prime Movers,Vehicles (#),80,
1972,Buses > 9 seats,Vehicles (#),30,
1972,Tow Trucks,Vehicles (#),7,
1972,Fire Appliances,Vehicles (#),29,
1972,Trucks with Machinery Mounted,Vehicles (#),8,
1972,Other Non Freight Carrying Trucks,Vehicles (#),0,
1973,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),119,
1973,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1391,
1973,Prime Movers,Vehicles (#),139,
1973,Buses > 9 seats,Vehicles (#),14,
1973,Tow Trucks,Vehicles (#),9,
1973,Fire Appliances,Vehicles (#),19,
1973,Trucks with Machinery Mounted,Vehicles (#),6,
1973,Other Non Freight Carrying Trucks,Vehicles (#),0,
1974,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),221,
1974,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),1702,
1974,Prime Movers,Vehicles (#),209,
1974,Buses > 9 seats,Vehicles (#),25,
1974,Tow Trucks,Vehicles (#),18,
1974,Fire Appliances,Vehicles (#),36,
1974,Trucks with Machinery Mounted,Vehicles (#),13,
1974,Other Non Freight Carrying Trucks,Vehicles (#),3,
1975,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),263,
1975,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2033,
1975,Prime Movers,Vehicles (#),263,
1975,Buses > 9 seats,Vehicles (#),27,
1975,Tow Trucks,Vehicles (#),36,
1975,Fire Appliances,Vehicles (#),35,
1975,Trucks with Machinery Mounted,Vehicles (#),9,
1975,Other Non Freight Carrying Trucks,Vehicles (#),0,
1976,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),363,
1976,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2780,
1976,Prime Movers,Vehicles (#),434,
1976,Buses > 9 seats,Vehicles (#),34,
1976,Tow Trucks,Vehicles (#),35,
1976,Fire Appliances,Vehicles (#),42,
1976,Trucks with Machinery Mounted,Vehicles (#),29,
1976,Other Non Freight Carrying Trucks,Vehicles (#),0,
1977,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),475,
1977,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2455,
1977,Prime Movers,Vehicles (#),421,
1977,Buses > 9 seats,Vehicles (#),60,
1977,Tow Trucks,Vehicles (#),52,
1977,Fire Appliances,Vehicles (#),22,
1977,Trucks with Machinery Mounted,Vehicles (#),24,
1977,Other Non Freight Carrying Trucks,Vehicles (#),6,
1978,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),507,
1978,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2585,
1978,Prime Movers,Vehicles (#),529,
1978,Buses > 9 seats,Vehicles (#),87,
1978,Tow Trucks,Vehicles (#),61,
1978,Fire Appliances,Vehicles (#),34,
1978,Trucks with Machinery Mounted,Vehicles (#),38,
1978,Other Non Freight Carrying Trucks,Vehicles (#),7,
1979,Light Rigid Trucks up to 4.5t GVM,Vehicles (#),465,
1979,Heavy Rigid Trucks > 4.5t GVM,Vehicles (#),2969,
1979,Prime Movers,Vehicles (#),655,
