Australian Bureau of Statistics,,,,
,,,,
"Motor Vehicle Census, 2018",,,,
"Year of manufacture, Vehicle type and Vehicle Level",,,,
Counting: Vehicle Level,,,,
,,,,
Year of manufacture,Vehicle type,Counting,Count,Annotations
1960,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),10,
1960,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),99,
1960,Prime Movers,Vehicle Level (#),3,
1960,Buses > 9 seats,Vehicle Level (#),0,
1960,Tow Trucks,Vehicle Level (#),0,
1960,Fire Appliances,Vehicle Level (#),4,
1960,Trucks with Machinery Mounted,Vehicle Level (#),0,
1960,Other Non Freight Carrying Trucks,Vehicle Level (#),0,
1961,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),8,
1961,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),78,
1961,Prime Movers,Vehicle Level (#),3,
1961,Buses > 9 seats,Vehicle Level (#),3,
1961,Tow Trucks,Vehicle Level (#),0,
1961,Fire Appliances,Vehicle Level (#),3,
1961,Trucks with Machinery Mounted,Vehicle Level (#),0,
1961,Other Non Freight Carrying Trucks,Vehicle Level (#),0,
1962,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),12,
1962,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),166,
1962,Prime Movers,Vehicle Level (#),3,
1962,Buses > 9 seats,Vehicle Level (#),3,
1962,Tow Trucks,Vehicle Level (#),0,
1962,Fire Appliances,Vehicle Level (#),15,
1962,Trucks with Machinery Mounted,Vehicle Level (#),0,
1962,Other Non Freight Carrying Trucks,Vehicle Level (#),0,
1963,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),28,
1963,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),225,
1963,Prime Movers,Vehicle Level (#),5,
1963,Buses > 9 seats,Vehicle Level (#),3,
1963,Tow Trucks,Vehicle Level (#),0,
1963,Fire Appliances,Vehicle Level (#),9,
1963,Trucks with Machinery Mounted,Vehicle Level (#),3,
1963,Other Non Freight Carrying Trucks,Vehicle Level (#),3,
1964,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),26,
1964,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),297,
1964,Prime Movers,Vehicle Level (#),13,
1964,Buses > 9 seats,Vehicle Level (#),3,
1964,Tow Trucks,Vehicle Level (#),0,
1964,Fire Appliances,Vehicle Level (#),16,
1964,Trucks with Machinery Mounted,Vehicle Level (#),0,
1964,Other Non Freight Carrying Trucks,Vehicle Level (#),0,
1965,Light Rigid Trucks up to 4.5t GVM,Vehicle Level (#),29,
1965,Heavy Rigid Trucks > 4.5t GVM,Vehicle Level (#),354,
1965,Prime Movers,Vehicle Level (#),4,
1965,Buses > 9 seats,Vehicle Level (#),7,
